가구	家口	Family
결코	決-	Never or  by no means
경계	境界	Boundary
경고	警告	Warning
경고하다	警告-	To warn
경기	景氣	The business market’s state
경력	經歷	one’s personal history
경비	經費	Expenses or  outlay
경영하다	經營-	To manage or  adminster
경쟁	競爭	Competition or  rivalry
경쟁력	競爭力	Competitiveness
경제력	經濟力	Economic power
경제학	經濟學	Economics
경향	傾向	Tendency or  trend
계곡	溪谷	A valley or  gorge
계좌	計座	Account
계층	階層	A class or  social stratum
고궁	古宮	An ancient palace
고급스럽다	高級-	To be high-class
고전	古典	A classic in literature
고집	固執	Persistence or  stubborness
고집하다	固執-	To be stubborn or  persistent
고통스럽다	苦痛-	Be painful or  torment
고함	高喊	A shout or  yell
곡	曲	A tune or  an air
곡식	穀食	Cereals or  grain
곤란하다	困難-	Difficulty or  trouble
공개	公開	opening to the public, making public
공개하다	公開-	Open to the public
공격	攻擊	Attack
공격하다	攻擊-	To attack
공공	公共	The public or  the common
공군	空軍	The air force
공급	供給	Supply or  provision
공기	空器	Public institution
공식	公式	A formula or  formality
공식적	公式的	Formal or  procedural
공업	工業	The industry or  manufacturing industry
공연되다	公演-	To give a public performance
공연장	公演場	Auditorium
공연하다	公演-	Offer a performance
공연히	空然-	Futile or  vain or  useless
공주	公主	A royal princess
공중	空中	The air or  the sky
공통	共通	Commonness
공통되다	共通-	To be common
공통적	共通的	Commonly
공통점	共通點	A common point or  a common feature
공포	恐怖	Fear or  dread
공해	公害	Environmental pollution
과	科	1) A course or  branch of study  2) a department or  a faculty
과거	科擧	The state examination
과연	果然	Just as one thought
과외	課外	Extracurricular work
과정	課程	A course or  curriculum
과정	過程	Process or  course
관계되다	關係-	Be affected or  influenced by
관계없이	關係-	Without any relation
관계자	關係者	The interested or affected parties
관광버스	觀光-	Tourist bus
관념	觀念	An idea or  notion
관람	觀覽	Inspection or  viewing
관리	官吏	A government official
관리하다	管理-	To manage or  control or  supervise or  manage
관습	慣習	Custom or  usage
관심사	關心事	A matter of concern and interest
관점	觀點	A point of view or a standpoint/outlook
관찰	觀察	Observation or  survey
광경	光景	A spectacle or  a sight
광장	廣場	An open space or  a plaza or  public square
굉장하다	宏壯-	Be grand or  magnificent or  splendor
교내	校內	Inside the school
교대	交代	Alternation or  change
교복	校服	School uniform
교사	敎師	Instructor
교시	校時	Teach or  instruct or  enlighten
교양	敎養	Culture or  education
교외	郊外	Outside the school or  extramural
교육비	敎育費	Tuition or  the cost of a school education
교육자	敎育者	An educator
교장	校長	Principal
교재	敎材	Teaching material or  insruction materials
교직	敎職	The teaching profession
교체	交替	Shift or  change or  alternate
교환하다	交換-	To exchange
교훈	敎訓	Edification or  giving instructions to
구15	區	Ward or  district
구별	區別	A distinction or  a separation
구별되다	區別-	To be separated andistinguished
구별하다	區別-	To distinguish between A and B
구분	區分	A division or  section
구분되다	區分-	To be put into sections
구분하다	區分-	To divide or  to classify
구성	構成	Organization or  constitution , the framework of something
구성되다	構成-	To be organized
구성하다	構成-	To organize or  makeup
구속	拘束	To arrest or  put in detention
구속되다	拘束-	To be arrested
구속하다	拘束-	To arrest or  restrain
구역	區域	A zone or  district
구입	購入	Purchase or  buying
구입하다	購入-	Purchase or  buying
구조	構造	Construction or  structure
구청	區廳	A ward or district office
국가적	國家的	National or  state
국내선	國內線	Domestic airline
국내외	國內外	The inside and outside of a country or  home and abroad
국민적	國民的	National or  for citizens
국사	國史	The history of a country
국산	國産	A country’s product
국왕	國王	A king or  a monarch
국적	國籍	Nationality or  citizenship
국제선	國際線	International airline
국제적	國際的	International
국제화	國際化	Internationalization
국회	國會	The National Assembly
군	郡	A county or district
군사	軍事	Military affairs
군사	軍士	A soldier or  a private
궁극적	窮極的	Finally or in the end, 마지막으로
권리	權利	A right or  a claim to
권위	權威	1) Authority or  power  2) dignity or  prestige
귀가	歸家	Returning home
귀가하다	歸家-	To return home
귀신	鬼神	A ghost
귀중하다	貴重-	To be precious
귀하다	貴-	1) noble or  high  2) dear  3) lovable or  precious
규모	規模	Scale or  scope or  structure
규정	規定	Provision or  stipulation
균형	均衡	Balance or  equilibrium
귤	橘	A Jeju orange
그간	-間	The while or  during tha time
그전	-前	Former days or  the past
극	劇	Drama or  play
극복	克服	Conquest or  subjugation
극복하다	克服-	To overcome or  surmount
극작가	劇作家	A dramatist
극히	極-	Exceedingly or  extremely
근거	根據	Basis or  foundation
근거하다	根據-	To base sth on sth
근교	近郊	Suberbs
근래	近來	Of late or  recently
근로	勤勞	Labor or  exertion
근본	根本	The foundation or  basis
근본적	根本的	foundational, fundamental
근원	根源	The origin or  root or  source
근육	筋肉	Muscles
금강산	金剛山	The Diamond Mountains
금고	金庫	A safe or  strongbox
금메달	金-	Gold medal
금액	金額	Amount ofmoney
금지되다	禁止-	To be forbidden or prohibited
금하다	禁-	1) suppress or  restraint 2) abstain from or  restrain from
급격히	急激-	Be rapid or  sudden
급속히	急速-	Rapidly or  swiftly
급증하다	急增-	Surge or  sudden rapid increase
급히	急-	Fast or  quickly or  in a hurry
기13	氣	1) energy  2) breath or  wind
기23	旗	A flag or  a banner
기관	機關	An engine or  a machine
기구	器具	A utensil or  tool
기구	機構	Structure or  framework
기기13	機器	Machinery and tools
기념	記念	Commemoration
기념일	記念日	Commemoration day
기념품	記念品	A momento
기념하다	記念-	Commemorate
기능	技能	Ability or  capacity or  skill
기능	機能	Function or  functionality
기대되다	期待-	To be expected
기도하다	祈禱-	To pray
기독교	基督敎	Christianity
기록	記錄	A record or  a document
기록되다	記錄-	To be recorded or written down
기막히다	氣-	Be at a loss for words
기법	技法	Techniques
기본적	基本的	Fundamental or  basic
기성08	旣成	To be already existing or  established
기성세대	旣成世代	Old people
기술자	技術者	Technician
기술하다	記述-	To describe or give an account of
기억되다	記憶-	To be remembered
기업	企業	An enterprise or business
기업인	企業人	Businessman
기여	寄與	Contribution or  service
기여하다	寄與-	Contribute or  add much to
기원	起源	Origin
기원전	紀元前	B.C.
기적	奇跡	A miracle
기초적	基礎的	Fundamental or  basic
기초하다	基礎-	Make the basis for
기타	其他	The others or  the rest
기호	記號	Taste or  likes
기혼	旣婚	Married
기획	企劃	Planning
기후	氣候	Climate or  weather
긴급	緊急	Emergency
긴장감	緊張感	Feeling of tension
긴장되다	緊張-	Be under tension
깡패	-牌	Gangster
나침반	羅針盤	A compass
난리	亂離	A war, revolt
난방	暖房	A heated room
남부	南部	The south part
남북	南北	North and south
납득하다	納得-	To convince, persuade oneself
낭비	浪費	Waste
내과	內科	Internal medicine
내달	來-	Next month
내부	內部	The inside
내외	內外	The interior and exterior
내외	內外	Men and woman, husband and wife
내용물	內容物	Contents
내적	內的	Internal
내후년	來後年	The year after next year
냉동	冷凍	Refrigeration
냉방	冷房	A cold or unheated room
년생	年生	Year of birth
노동	勞動	Labor, work
노선	路線	Route
녹화	錄畵	Tree-planting
논리	論理	Logic
논리적	論理的	Logical
논쟁	論爭	Controversy, argument
논하다	論-	Argue, discuss,debate
농민	農民	A farmer
농부	農夫	A farmer
농사일	農事-	Farming
농사짓다	農事-	To do farming
농산물	農産物	Agricultural products
농장	農場	A farm, plantation
뇌	腦	Brains
눈동자	-瞳子	The pupil
눈병	-病	An eye disease
능동적	能動的	Activity ; voluntary, of its own nature
다방	茶房	Tea room
다소	多少	1) Large and small, 2) more or less
다양성	多樣性	Variety
다양해지다	多樣-	To be various
다정하다	多情-	To be affectionate, warm-hearted
다행	多幸	Good luck
단	段	A grade or class
단계	段階	A step, phase
단독	單獨	Independence
단순	單純	Simplicity
단위	單位	A unit, a monad
단편	短篇	A piece, fragment
단풍	丹楓	Fall foliage
담당	擔當	Charge, undertaking
담당자	擔當者	Person in charge
답	答	Answer
답변	答辯	An answer
당당하다	堂堂-	Dignified
당분간	當分間	For the present
당시	當時	At that time
당하다	當-	Have, encounter
대	줄기	A stem, stalk
대	代	Era, period
대가	代價	A price, cost, charge, consideration, purchase money, value
대강	大綱	General principles
대개	大槪	Mostly, for the most part
대규모	大規模	On  a large scale
대기	大氣	The atmosphere
대기하다	待機-	Be ready for the opportunity
대다수	大多數	A large majority
대략	大略	an outline, summary (2) generally, on the whole
대량	大量	A large quantity
대륙	大陸	A continent
대비	對備	Provision, preparation
대비하다	對備-	Provide for, prepare onself for
대사	大使	an ambassador
대사	臺詞	Speech, dialogue
대신하다	代身-	Relieve, replace another
대응	對應	Confrontation, opposition
대응하다	對應-	Cope or correspond to
대장	圖章	A seal, stamp
대접	待接	Treatment
대접하다	待接-	Treatment
대중적	大衆的	Of the masses
대책	對策	Countermeasure
대처하다	對處-	Disposal, treatment
대체	大體	An outline, summary
대체로	大體-	Generally, on the whole
대출	貸出	Lending
대표하다	代表-	Represent
대합실	待合室	A waiting room
대형	大型	Large, full-sized
댐	dam	Dam
덕	德	Virtue, morality
도	度	Degrees (temperature)
도	道	Road
도달하다	到達-	Arrival
도대체	都大體	In the world, on earth
도덕	道德	Immorality
도망	逃亡	Escape
도망치다	逃亡-	To make an escape
도심	都心	The heart of the city
도입	導入	introduction, invitation
도저히	到底-	(도저히 + negative (지 않다/없다))Absolutely impossible ; by all means
도전	挑戰	Challenge, defiance
독감	毒感	Influenza
독립	獨立	Independence
독립하다	獨立-	To become independent
독창적	獨創的	Original
독특하다	獨特-	Unique, characteristic, distinctive, peculiar, specific
독하다	毒-	Be poison
동	同	the same
동화책	童話冊	A fairy tale
마약	痲藥	A drug
마찰	摩擦	Rubbing, chafing
만세	萬歲	10,000 years
만점	滿點	Perfect score
만족	滿足	Satisfaction
만족스럽다	滿足-	Satisfied
만화가	漫畵家	Cartoon artist
말기	末期	The end, final period
말투	-套	One’s way of talking
망원경	望遠鏡	Telescope
망하다	亡-	Go to ruin
매달	每-	Every month
매번	每番	Every time
매장	賣場	A store, shop
매주	每週	Every week
매체	媒體	A medium,medias
면	綿	Cotton
면	面	Subdivision of a county
면	面	Side
면담	面談	An interview
면적	面積	area,dimensions
면접	面接	Interview
면하다	免-	escape,avoid
명단	名單	List of names
명령어	命令語	Directive
명예	名譽	Honor
명의	名義	name,title
명칭	名稱	A name,title
명확하다	明確-	clear,precise
모	某	A certain person, mr. Jones
모범	模範	model,example
모색하다	摸索-	Evening twilight
모집	募集	Collection
모집하다	募集-	Call/appeal for
목록	目錄	Catalogue
묘사	描寫	Description
묘사하다	描寫-	To describe
무	無	nothing,nil
무관심	無關心	Indifference, unconcern
무관심하다	無關心-	Be indifferent to
무궁화	無窮花	The rose of Sharon
무기	武器	Weapon
무대	舞臺	Stage
무려	無慮	As many as, no less  than
무료	無料	Free
무리	無理	Be unreasonable
무리하다	無理-	Be impossible
무사하다	無事-	Be safe, peaceful
무용가	舞踊家	Dancer
무의미하다	無意味-	Be nonsense
무책임하다	無責任-	Not responsible
문구	文句	passage,paragraph
문밖	門-	Outside the door
문법	文法	Grammar
문서	文書	A document
문자	文字	letters,character
문제되다	問題-	Become a problem
문학적	文學的	Literary
문화재	文化財	Cultural assets
문화적	文化的	Cultural
물가	物價	Prices of products
물기	-氣	Moisture
물리학	物理學	Physics
물질	物質	matter,material
물질적	物質的	Material
물체	物體	A material body
미	美	beauty,grace
미만	未滿	under,below ; less than
미용실	美容室	Beauty salon
미혼	未婚	Unmarried
민간	民間	civil,private
민속	民俗	Folk-customs
민주	民主	Democracy
민주주의	民主主義	Democracy
민주화	民主化	Democratization
밀접하다	密接-	Be close,intimate with
바	bar	Bar
바치다	드리다	Give, offer
박	泊	Staying the night
반대편	反對便	The opposite side
반말	半-	Crude language
반면	反面	One side
반발	反撥	Repulsion, a backlash
반복되다	反復-	To be repeated
반성	反省	Reflection
반성하다	反省-	Examine oneself
반영하다	反映-	Reflect, be reflected
반응	反應	Reaction
발달되다	發達-	Be developed
발전	發電	Generate electricity
발전되다	發展-	Be advanced, prospering
발표되다	發表-	Be announced
발휘하다	發揮-	Display, exhibit
밤색	-色	Chestnut color, maroon
밥상	-床	Dinner table
방면	方面	Direction
방바닥	房-	room’s floor
방송사	放送社	Broadcasting company
방송하다	放送-	Broadcast
방식	方式	A form, method, process
방안	方案	A plan, scheme
방지	防止	Prevention, check
방지하다	防止-	To prevent, check
방해	妨害	An obstacle, hindrance
방해하다	妨害-	Interrupt, interfere
배	倍	Times, x-fold
배우자	配偶者	A mate, life partner
배치	配置	Arrangement
백색	白色	White
백성	百姓	The common people
백인	白人	Caucasian
번역하다	飜譯-	To translate
번지	番地	Area of land
벌	罰	Punishment
벌금	罰金	A fine
범위	範圍	Range, area
범인	犯人	A criminal
범죄	犯罪	A crime
법률	法律	A law, statute
법원	法院	Court of justice
법적	法的	Legal
법칙	法則	A law, a rule
변경	變更	Change, alteration
변동	變動	Change, flucutation
변명	辨明	Explanation, vindication
변신	變身	Disguise, transformation
변화되다	變化-	To be changed
별다르다	別-	Be of a peculiar kind
별도	別途	A separate way
별명	別名	nickname,alias
별일	別-	A particular thing
병실	病室	An infirmary
보고하다	報告-	Report to a person
보관	保管	custody,deposit
보도	報道	news,report
보도되다	報道-	To be reported
보도하다	報道-	To report,inform
보라색	-色	Purple
보상	補償	Compensation
보수	保守	Conservation
보수	補修	mending,repair
보수적	保守的	Conservative
보안	保安	Preservation of the public peace
보완하다	補完-	to supplement and make complete, to complement sth
보자기	褓-	A diver
보장	保障	guarantee,security
보장되다	保障-	Be secured
보장하다	保障-	To secure,guarantee
보전	保全	ingegrity,preservation
보조	補助	assistance,aid
보존	保存	Preservation
보존하다	保存-	preserve,conserve
보충하다	補充-	replenish,replace,fillup
보편적	普遍的	Universal
보호되다	保護-	To be protected
보호하다	保護-	protect,shelter,guard
복	福	luck,happiness
복사기	複寫機	Memeograph
본	本	An example
본격적	本格的	Exemplary
본부	本部	The headquarters
본사	本社	Main office
본성	本性	Original nature or character
본인	本人	Person in question
본질	本質	True nature,essence
봉사	奉仕	service,attendance
봉사하다	奉仕-	serve,render service
부	富	wealth,riches
부	部	assistant,deputy
부담	負擔	A burden,responsibility
부담하다	負擔-	bear,shoulder a responsibility
부대	部隊	A detachment, squad
부문	部門	A section,department
부분적	部分的	Departmental
부상	負傷	A wound,injury
부서	部署	one’s post,duty
부위	部位	A region,part
부인	婦人	Wife
부재	不在	Absence
부정	不正	injustice,wrongfulness
부정적	否定的	negative, contradicting sth else,  not positive
부정하다	否定-	Be uncertain,irregular
부친	父親	A father
부품	部品	Parts, accessories
부회장	副會長	A vice president
북부	北部	The north part
분노	憤怒	rage,anger
분량	分量	quantity,measure
분리	分離	separation,segration
분리되다	分離-	To be segregated
분리하다	分離-	To separate, break away from
분명하다	分明-	To be clear/obvious
분명해지다	分明-	To become clear
분석	分析	Analysis
분야	分野	Field
분주하다	奔走-	Be busy,crowded
분포하다	分布-	Distribution
분필	粉筆	Chalk
분홍색	粉紅色	Pink color
불가피하다	不可避-	Inevitable, unavoidable
불과	不過	Only, not more than
불과하다	不過-	Nothing more than
불구하다	不拘-	Deformity, malformation
불리하다	不利-	to be disadvantageous,unfavorable to/for
불법	不法	Illegal
불법	佛法	Buddhism
불완전하다	不完全-	To be imerfect
불이익	不利益	disadvantage,drawback
불편	不便	Inconvenience
불평	不平	Dissatisfaction
불평등하다	不平等-	Inequality
불필요하다	不必要-	To be unnecessary
불행	不幸	Unhappiness
불확실하다	不確實-	Be uncertain
비	碑	A monument
비극	悲劇	A tragedy
비난	非難	Criticism, reproach
비만	肥滿	Fatness, corpulence
비명	悲鳴	A scream
비상	非常	Emergency
비율	比率	ratio,percentage
비중	比重	Specific gravity
비판	批判	criticism,a comment
비판적	批判的	Critical
비하다	比-	Compare to
비행	非行	An irregularity
비행	飛行	Flying, aviation
비행장	飛行場	An airfield
자	字	A chinese character
자	者	A person
자격증	資格證	A qualification certificate
자극	刺戟	A stimulus
자극하다	刺戟-	To stimulate
자녀	子女	one’s children
자매	姉妹	Sisters
자부심	自負心	Pride
자살	自殺	Suicide
자살하다	自殺-	Commit suicide
자세	姿勢	Position, posture
자세하다	仔細-	Be detailed
자신감	自信感	Self-confidence
자연적	自然的	Natural
자연현상	自然現象	Natural phenomena
자연환경	自然環境	Natural surroundings
자연히	自然-	Naturally
자원	資源	Resources
자율	自律	self-control,autonomy
자정	子正	Midnight
자존심	自尊心	Self-confidence
자판	字板	Keyboard
작성	作成	editing,composition
작성하다	作成-	To edit or compose, write up
작업	作業	Work
작용	作用	Application
작용하다	作用-	To apply , use
작품	作品	A work of art
잠수함	潛水艦	Submarine
장관	長官	A government cabinet minister
장기간	長期間	For a long period
장기적	長期的	Long-term
장례	葬禮	A funeral
장례식	葬禮式	A funeral
장면	場面	A scene, situation
장모	丈母	A man’s mother in law
장모님	丈母-	A man’s mother in law
장비	裝備	equipment,fittings
장식	裝飾	Decoration
장애인	障碍人	A handicapped person
장인	丈人	A man’s father in law, the wife`s father
장차	將次	In the future, someday
재능	才能	talent,ability
재생	再生	revival,restoration to life
재수	財數	luck,fortune
재정	財政	finances,economy
재판	裁判	A trial
재학	在學	To be in school, be attending school
재활용	再活用	Recycling
재활용품	再活用品	A recycled product
저편	-便	That side,direction
적성	適性	Aptitude
적용	適用	Application
적용되다	適用-	To be applied
적응	適應	Adaptation
적응하다	適應-	Be suited to, adapted to
적절하다	適切-	Appropriateness
적합하다	適合-	suitability,fitness
전	全	all,every
전개	展開	unfolding,development,expansion
전개되다	展開-	To be unfolded,spread out
전개하다	展開-	To unfold,evolve,spread out
전공하다	專攻-	To major in something
전구	電球	An electric bulb
전국적	全國的	National
전기	傳記	a biography
전기	前期	the former period/term
전달	傳達	Delivery
전달되다	傳達-	To be delivered
전망	展望	A view,prospect
전망하다	展望-	Have a view of, observe
전문적	專門的	Of a specialist nature
전문점	專門店	Exclusive store
전문직	專門職	Specialty job
전반	全般	The whole, all, general
전반적	全般的	over-all,all
전선	戰線	The battle line
전설	傳說	A tradition, a legend
전세	傳貰	renting with a big downpayment and not paying month to month
전시	展示	exhibition,display
전시되다	展示-	To be exhibited,ddisplayed
전시장	展示場	An exhibition hall
전시하다	展示-	To display
전시회	展示會	An exhibition, show, display
전용	專用	Exclusive or private use
전통문화	傳統文化	Traditional culture
전환	轉換	To exchange, convert, change
전환하다	轉換-	To exchange, to convert, to change over
전후	前後	sequence,order,front and rear
절	節	clause,paragraph
절대	絶對	Absoluteness
절대적	絶對的	absolute,unconditional
절망	絶望	despair,hopelessness
절약	節約	thrift,savings,economy
절차	節次	process,formalities; 수속
점검	點檢	inspection,examination
접근	接近	Proximity
접근하다	接近-	approach,get near
접촉	接觸	contact,touch
접하다	接-	adjoin,be adjacent to
정기	定期	A fixed time period
정기적	定期的	fixed,regular (time sth)
정당	政黨	A political party
정리되다	整理-	To be adjusted
정면	正面	The front, the facade
정반대	正反對	Direct opposition, the exact reverse
정보화	情報化	Change to an information orientation
정부	政府	Government
정비	整備	maintaining equipment in good working order
정상	正常	normalcy,normality
정상적	正常的	normal,like usual
정성	精誠	True heart,devotion
정신과	精神科	Psychiatry
정신없이	精神-	Feel distracted and scatter-brained
정오	正午	Noon
정장	正裝	Full dress, uniform
정지	停止	stop,an interruption
정직하다	正直-	honesty,uprightness
정치권	政治權	Political rights
정치인	政治人	Politician
정치학	政治學	Political science
제거하다	除去-	exclusion,removal
제공	提供	An offer
제과점	製菓店	Confectionary store
제대하다	除隊-	Be discharged from the military
제도적	制度的	Systematic
제사	祭祀	A holiday ceremony
제삿날	祭祀-	Day of the ceremony
제시	提示	Presentation
제시되다	提示-	To be presented
제시하다	提示-	To present
제안	提案	A proposal,suggestion
제안하다	提案-	To propose,make a suggestion
제약	制約	A condition,restriction
제외되다	除外-	To be excluded
제외하다	除外-	To exclude
제의	提議	A proposal,an offer
제의하다	提議-	Make a suggestion
제자	弟子	A disciple
제작	製作	manufacture,production
제작하다	製作-	To produce,manufacture
제출	提出	presentation,submission
제한되다	制限-	To be restricted,limited
제한하다	制限-	To restrict,limit
조	條	article,clause
조	組	A company,group
조기	早期	An early stage,period
조명	照明	lighting,illumination
조미료	調味料	seasoning,condiment
조선	朝鮮	Name for ancient korea culture
조절	調節	regulation,adjustment
조절하다	調節-	To regulate,tune
조정	調整	regulation,control,coordination
조정하다	調整-	To regulate,adjust,coordinate
조직	組織	Organization (composition, structure)
조화되다	調和-	harmony,agreement
존경하다	尊敬-	Respect
존재	存在	Existence
존재하다	存在-	To exist
존중하다	尊重-	appreciate,esteem,value
종	鐘	A bell
종교적	宗敎的	Of religions
종소리	鐘-	The sound of a bell
종종	種種	A variety of things
종합하다	綜合-	synthesize,integrate
좌우	左右	Left and right
죄	罪	A crime, a sin
죄인	罪人	A criminal
주	主	one’s master, ones employer
주거	住居	residing,dwelling
주관적	主觀的	Subjective
주년	周年	One whole year
주문	呪文	An incantation, a spell
주문	注文	An order, a request
주민	住民	inhabitants,dwellers
주방	廚房	A kitchen, a cookroom
주식	株式	Stock
주요하다	主要-	To be chief,principal,leading
주의	注意	attention,notice
주의하다	注意-	Pay attention to
주일	週日	A week
주장	主張	assertion,insistance
주전자	酒煎子	A kettle, teakettle
주한	駐韓	Residing in korea
중계방송	中繼放送	A relay, a hookup
중년	中年	Middle-aged
중단	中斷	interruption,suspension
중단되다	中斷-	To be suspended,stopped
중단하다	中斷-	To interrupt, to stop
중대하다	重大-	importance,gravity
중독	中毒	Poison
중반	中盤	At the middle stage (of a game or contest, or otherwise)
중부	中部	The center, middle part
중세	中世	The middle ages
중소기업	中小企業	Small and medium enterprises
중순	中旬	The second 10 days in a month
중식	中食	Chinese food
중심지	中心地	A central place
중앙	中央	The middle and the heart
중요시하다	重要視-	Attach great importance to
즉석	卽席	instantly,impromptu
증가	增加	An increase,augmentation
증가하다	增加-	increase,rise,grow
증거	證據	evidence,proof
증권	證券	securities,document,deed
증권사	證券社	Securities corporation
증명하다	證明-	To prove,show,bear
지각	知覺	perception,consciousness
지경	地境	A boundary,situation,state
지극히	至極-	very,extremely
지금껏	只今-	So far, till now
지급	支給	supply,pay
지급하다	支給-	To pay,allow,furnish sth
지능	知能	intelligence,intellect, raw intelligence
지대	地帶	Zone, belt, district
지도	指導	Instruction, guidance
지도자	指導者	Leader
지도하다	指導-	To lead, instruct
지방	脂肪	Fat, grease, lard
지배하다	支配-	Control, direct
지불하다	支拂-	To pay
지속되다	持續-	Be lasting a long time, be continous
지속적	持續的	Continuous
지시	指示	Directions, orders
지시하다	指示-	To direct, instruct
지식	知識	Knowledge, information
지식인	知識人	An intellectual
지원	支援	helping, supporting, aiding
지원하다	支援-	To desire, aspire, hence to apply for [e.g. a job] or volunteer for sth
지위	地位	Position, status
지적	指摘	Pointing out, indication
지적	知的	Intellectual, brainy
지적되다	指摘-	To be pointed out to
지적하다	指摘-	To indicate, point out
지점	支店	Branch store
지지	支持	support,backing
지진	地震	Earthquake
지출	支出	Expenses, expenditure
지폐	紙幣	Paper money
지혜	智慧	Wisdom, wits
직선	直線	A straight line
직장인	職場人	A worker
직전	直前	Just immediately before
직접적	直接的	Directly, immediately
직후	直後	Immediately after
진급	進級	Promotion
진단	診斷	Diagnosis
진단하다	診斷-	To diagnose
진동	振動	vibration,shake
진로	進路	A course,direction,path
진료	診療	Medical examination and treatment
진리	眞理	A truth, a fact
진실	眞實	Truth, sincerity
진실로	眞實-	Truly, honestly
진실하다	眞實-	Be true, truthful
진심	眞心	The whole heart, sincerity
진지하다	眞摯-	To be serious, earnest
진찰	診察	A medical diagnosis, investigation
진출하다	進出-	Penetrate into, advance
진통	陣痛	Labor pains, travail
진행	進行	Progress, advance
진행자	進行者	Leader of the performance
질병	疾病	A disease, sickness
질적	質的	Qualitative
짐작	斟酌	guess,conjecture
짐작하다	斟酌-	To guess, infer
집단	集團	A group, a collective body
집단적	集團的	Collectively (of people)
집중되다	集中-	To concentrate
집중적	集中的	Related to the concentration
집중하다	集中-	To concentrate
차	差	difference,margin
차	次	order,sequence,degree
차량	車輛	vehicles,cars
차별	差別	distinction,differentiation
차선	車線	A traffic lane
차이점	差異點	A point of difference
차차	次次	Gradually
차창	車窓	car/train window
착각	錯覺	Hallucination, illusion
착각하다	錯覺-	To misunderstand, to deceive oneself, to be having illucinations
찬성	贊成	approval,assent
찬성하다	贊成-	To approve, support (a plan)
참가	參加	participation,joining
참고하다	參考-	To refer, consult
참석	參席	Attendance, participation
참석자	參席者	Persons present
참여	參與	Participation
참여하다	參與-	To participate in, take part in
참조	參照	reference,comparison
창	窓	Window
창가	窓-	Next to a window, or, the window’s edge
창구	窓口	A window
창작	創作	Creation, origination
창조	創造	Creation
창조적	創造的	Creatively
창조하다	創造-	Create
창피하다	猖披-	To be ashamed
채점	採點	marking,grading,scoring
책임감	責任感	Feeling of responsibility
처녀	處女	A virgin, a young maiden
처리	處理	handling,treatment
처벌	處罰	punishment,penalty
처지	處地	A situation,circumstances
척	隻	A few ships (vessels)
천국	天國	Heaven
