정장	正裝; парадная (полная) форма
쓰러지다	падать; повалиться; развалиться; слечь; свалиться; потерпеть поражение; пасть; погибнуть; 그는 심한 충격 때문에 쓰러졌다 Он слёг от сильного потрясения.; 기진맥진하여 ~ валиться от усталости; 땅 위에 ~ пасть на землю; 적을 쓰러진다 Неприятель потерпел поражение.; 피로에 지친 말이 쓰러져 죽어 갔다 Изнуренные лошади падали и умирали.; 폭풍에 나무가 쓰러졌다 Дерево свалилось от бури.
힘겹다	непосильный; очень тяжёлый; 힘겹게 с большим трудом
꿰뚫다	пронзать; пронизывать; продырявливать; предвидеть; угадывать; постигать до конца; хорошо знать; быть знатоком
날카롭다	острый; острый; чувствительный; нервный; резкий; 날카로움 острота; тонкость; резкость ; 날카롭게 остро; тонко; нервно; резко; 날카로운 목소리 резкий голос; 날카로운 비판 острая критика; 날카로운 시선 колючий взгляд; 날카로운 창 острое копьё; 끝이 날카로운 메스 остроконечный скальпель
눈초리	взгляд; взор
굽히다	сгибать; гнуть; искривлять; нагибать; уступать; 입 장을 сдавать свой позиции
위로	慰勞; утешение; ~하다 утешать; ~의 말 слова утешения; ~연 банкет (в честь заслуженного человека)
왕복	往復; хождение (движение) (в оба конца); курсирование; поездка в оба конца; ~하다 ходить (ездить; курсировать) туда и обратно; ~ 비행 беспосадочный полёт туда и обратно; челночные полеты; ~ 요금 стоимость проезда в оба конца; проездная плата туда и обратно; ~ 운동 двойное поступательно-возвратное движение; ~ 차표 билет в оба конца
차표	車票; билет на проезд; ~를 예약하다 заказывать билет; ~를 조사하다 проверять билет; ~를 찍다 компостировать; 이 ~는 3일간 유효하다 Этот билет действителен три дня.; 왕복~ билет в оба конца
마차	馬車; телега; запряжка; повозка; 쌍두 ~ парная запряжка
진창	грязь; слякоть; месиво; болото; 오늘은 길이 ~이다 Сегодня слякоть.
튀다	отскакивать; трескаться; лопаться; рассыпаться; разогнувшись, сойти со своего места; сбежать; брызгать; разлетаться; заметно выступать (выделяться)
자국	1. след; ~을 밟다 идти по следу; 2. шрам; ; 자국 自國; своя страна; родина; ~의 родной; отечественный
군데	место; ~~ тут и там; везде; всюду
말라붙다	пересохнуть
또한	(а) также; к тому же
마부	馬夫; кучер; извозчик; конюх
첫차	первый поезд
의지	依支; опора; ~하다 опираться на кого-что; прислоняться к чему; ~할 곳이 없다 негде голову приклонить; ; 의지 意志; воля; стремление; волевой; ; 의지 義肢; искусственная конечность; протез руки или ноги
곤경	困境; трудное (тяжёлое) положение; ~에 빠지다 попадать в переделку; оказываться в тупике (затруднении); быть в трудном (тяжелом) положении
에워싸다	окружать; обступать
암흑	暗黑; мрак; тьма; темнота; 도시가 ~속에 휩싸였다 Город погрузился во тьму.
해주다	делать что кому-чему; производить; совершать; 이것을 내일까지 꼭 해주십시오 Сделайте это обязательно до завтра.
당장	當場; тут же, сразу на месте; ~ 이 자리에서 결판을 내자 Давай всё решим здесь и сейчас.
사례	事例; пример; случай; ~를 설명하다 пояснить примером; 어떤 ~로 들다 привести в пример что-л.; ~를 들다 приводить пример; 그의 ~에 따르다 следовать его примеру; 용기의 ~를 보여주다 показать пример мужества; ~를 보이다 подать пример; ~연구 исследование на примерах; ; 사례 謝禮; благодарность; признательность; ~를 표하다 выражать благодарность; благодарить кого-л. за что-л.; ~를 표하는 благодарный; ~의 표시 знак благодарности; ~ 편지 благодарственное письмо
신뢰	信賴; вера; доверие; ~하다 доверять кому-чему в чем; полагаться на кого; облечь доверием; 나는 그를 ~하지 못한다 Я ему не доверяю.; ~할 만한 사람 надёжный человек; человек, заслужи вающий доверия
서랍	ящик; ~의 ящичный; ~에 집어넣다 укладывать (уложить) в ящик
장식	裝飾; украшение; декорирование; ~적 декоративный; ~하다 украшать; декорировать; разукрашивать; ~되다 украшаться; декорироваться; разукрашиваться; 실내~ внутреннее убранство; оформление интерьера; ~미술 декоративная живопись
기꺼이	с удовольствием; с радостью; 나는 당신을 위해 이것을 하겠습니다 С удовольствием сделаю это для вас.
드리다	1. давать; преподносить; вручать; 선물을 ~ преподносить подарок; 말씀을 ~ говорить; 감사를 ~ приносить кому-чему (свою) благодарность; 보고를 ~ докладывать; 인사를 ~ передавать привет; 2. 마루를 ~ стелить пол; 문을 ~ навешивать дверь
금전	金錢; деньги; ~의 денежный; ~욕 жадность к деньгам; ~ 출납부 кассовая книга
형편	형편 形便; положение; состояние (дел); ~이 펴이다 улучшаться; становиться лучше; ~이 좋으면 при благоприятных обстоятельствах; если обстоятельства сложатся хорошо (позволят); 지금 ~으로는 при этих обстоятельствах; в этой ситуации
지불	지불 支拂; уплата; выплата; платёж; ~하다 выдавать; платить за что; 입장료를 ~하다 платить за вход; 집세를 ~하다 платить за квартиру; 월급을 ~하다 выдавать зарплату; ~서류 платёжный документ; ~수단 платёжные средства; ~신용 платёжный кредит
보람	результат; эффект; польза; толк; 이렇게 풍작을 이룬 것은 열심히 일한 ~이다 Добиться такого богатого урожая результат упорного труда.
대가	대가 代價; вознаграждение; компенсация; плата; цена; 노력의 ~ плата за труд; 어떤 ~를 치르더라도 любой ценой; 헤아릴 수 없는 회생의 ~로 ценой огромных жертв; ~를 치르다платить; расплачиваться; ; 대가 大家; 1.авторитет в чем; корифей; мастер; 러시아 과학의 ~ корифей русской науки; 현대철학의 ~ авторитет в современной философии; ~인 척하다 выдавать себя за авторитет
원인	원인 原因; причина; фактор; ~과 결과 причина и следствие; ~을 밝히다 устанавливать причину; ...의 ~이 되다 становиться причиной чего; 근본~ коренная причина; ; 원인 猿人; неандерталец; обезьяночеловек
막연	막연 漠然ㆍ邈然; ~하다 неопределённый; смутный; туманный
사소하다	사소 些少; ~하다 незначительный; мелкий
약혼자	약혼자 約婚者; помолвленный; жених
증상	증상 症狀; симптом; внешний признак; свидетельство; прогноз; ...할 ~을 보이다 есть признаки того, что ...; указания на то, что ...; подавать сигнал; 발병~을 보이지 않는 환자 пациент, у которого не обнаружены симптомы заболевания; 부차적 ~을 고려한 진단 диагноз с учётом побочных симптомов; 오한 ~이 나다 обнаружить симптомы лихорадки; 위협적인 ~ угрожающие симптомы; 발병의 조기 ~ ранние симптомы заболевания
신경과민	신경과민 神經過敏; нервозность
사악	사악 邪惡; ~하다 зловредный; ~한 사람 зловредный человек; ~한 사상 вредные мысли
물리치다	refuse; turn down; reject. away; beat off; repel; expel;
어쨌든	во всяком случае; так или иначе
의붓아버지	отчим
경계	경계 境界; граница; рубеж; грань; ; 경계 警戒; предостережение; предупреждение; предохранение; охранение; наблюдение; ~하다 предостерегать кого от чего; предупреждать; охранять; ~ 근무 караульная служба; ~ 신호 сигнал тревоги; предупредительный сигнал
유서	유서 遺書; (письменное) завещание; ~를 남기다 оставить завещание (посмертное письмо)
가문	가문 家門; семья; семейство; род; клан
일족	일족 一族; родственники; родня; семья; клан
혈통	혈통 血統; родословие; родословная; происхождение; ~이 좋은 из хорошей семьи
끄덕이다	кивать; покачивать; 가볍게 고개를 ~ слегка кивать головой
손꼽히다	to be considered
부호	富豪 богатый и влиятельный человек
영지	영지 領地; территория; владение
이어지다	быть связанным; 남북 아메리카는 파나마 지형으로 이어져 있다 Северная и Южная Америка связаны Панамским проливом.; 전화가 이어졌다 Звонок прошел. (Телефон соединился.)
세기	세기 世紀; век; столетие; ~적 вековой; столетний
연달다	следовать один за другим
대	代 родословие; родословная; род; поколение; эра; эпоха
걸치다	быть переброшенным (перекинутым) через что; перекидывать; перебрасывать; набрасывать; надевать; накидывать; простираться; тянуться; охватывать; пить; быть на закате; ...에 걸쳐 в течение; в протяжении чего; 걸쳐 놓다 оставлять висеть
몰락	몰락 沒落; падение; гибель; разорение; банкротство; упадок; ~하다 пасть; разориться; обанкротиться; ~한 가문 захудалый род
남다	оставаться; быть вырученным; оставшаяся выручка; 남은 остаточный; оставшийся; лишний, ; 남은 돈 деньги, оставшиеся (после чего); 남은 표 лишний билет; 충분히 남는다 хватит с излишком; более чем достаточно; 남아돌다 оставаться; быть в излишке; быть лишним
지은	짓다 집을 ~ строить дом
낡다	старый; устарелый; ветхий; устаревший; отживший; 낡은 것 старьё; 낡은 관습 старый обычай; 낡은 옷 старое платье; 사진이 빛이 바래 낡았다 Фотография выцвела.
저택	저택 邸宅; особняк; резиденция; (частный) дом
빚쟁이	кредитор; ростовщик
담보	담보 擔保; гарантия; залог; обеспечение; ~하다 гарантировать; давать гарантию; обеспечивать; ручаться за что; ~로 잡히다 отдать что в залог; ~를 요구하다 требовать гарантию; 무한 담보를 하다 гарантировать неприкосновенность границ; 상호 ~ взаимные гарантии
잡히다	находиться в руках; быть выбранным (намеченным); быть сделанным; быть погашенным; быть взятым (захваченным, схваченным); быть обнаруженным (найденным)
외아들	единственный сын
부친	부친 父親; отец; ~께서 건강하신가? Здоров ли отец?
귀족	귀족 貴族; аристократ; аристократия; ~적 аристократический; аристократичный; ~적으로 аристократически; аристократично; ~화되다 превращаться в аристократов; ~계급 аристократия; ~성 аристократичность; ~정치 аристократия; 노동~ рабочая аристократия
비참	비참 悲慘; печаль; горесть; ~하다 печальный; горестный; ~히 горестно; печально; ~한 광경 печальное зрелище; ~한 인생 печальная жизнь
마치다	1. кончать; заканчивать; финишировать; 2. упираться; наталкиваться; покалывать (при движении); 옆구리가 ~ колет в боку
벗다	снимать; сбрасывать; избавляться; освобождаться; отказаться (от обычая); бросить; внешне меняться; 벗은 голый
친척	친척 親戚; близкое родство; ближайшие родственники; родня; ~ 관계 родственные отношения
학업	학업 學業; учёба; учебная работа; учебные занятия; ~을 게을리 하다 не выполнять учебной работы; ~ 성적 успеваемость
의학박사	доктор медицины/врач
학위	학위 學位; учёная степень; научная степень; ~ 논문 научная диссертация; 어문학 박사 ~를 수여하다 присудить (присвоить) учёную степень доктора филологических наук
따다	2. брать; 3. вскрывать, открывать; 요점을 ~ конспектировать; 점수를 ~ набирать очки; получать отметку; 깡통을 ~ открывать консервную банку
환자	환자 患者; пациент; больной; ~명부 список больных
들끓다	сильно кипеть; бить ключом; бурлить; взбудораживаться; возбуждаться; кишеть
곤두세우다	신경을 ∼ pay all one's attention to / be all ears have one's nerves on edge.ㆍ
그만	1.(그만한) мало; так мало, что; не более, чем; только; лишь; 그만 수고를 아끼느냐 Тебе жалко сделать такое маленькое одолжение?; 그만 일에 낙심(하지) 마라 Не расстраивайся из-за такой мелочи.; 그만 일은 삼척동자도 안다 Даже ребенок это знает.; 2.(그 정도까지만) до такой степени; больше не; не более чем; 그만 울어라 Больше не плачь.; 그만 먹어라 Хвать жрать.; 오늘은 그만 하자 Хватит на сегодня.; 자랑 좀 그만해라 Хорош хвастаться.; 3. (곧) как только; не ранее чем; едва; 그것을 보자 그만 기절했다 Она упала в обморок, как только увидела это.; 그 말에 그만 화를 냈다 Эти слова спровоцировали его.
홧김	the influence of anger.  ∼에 under the influence of anger / in a fit of anger[rage / temper / the spleen] / in the heat of passion
집사	집사 執事; исполнитель; управитель; милостивый государь (в письме к вышестоящему); господин; почтённый господин
때리다	1. (치다) бить; избивать; ударять; 얼굴을 ~ бить (ударить) в лицо; 뺨을 ~ дать пощечину; 지팡이로 ~ бить (ударить) палкой; 2. (비난하다) резко критиковать; порицать; осуждать; обвинять; 신문에서 ~ обвинять (кого-либо) в прессе; 그는 어제 나를 때리는 말을 여러 사람에게 하였다 Он публично обвинил меня вчера.
사형	사형 死刑; смертная казнь
처하다	находиться; оказываться; приговаривать; налагать взыскание; взыскивать с кого за что
다행히	быть загнанным (куда); быть гонимым; накапливаться
극형	극형 極刑; высшая мера наказания; смертная казнь; ~에 처하다 казнить; ~에 처해지다 быть казнённым; ~을 선고하다 приговорить к смертной казни
면하다	免－ избегать (чего); избавляться; освобождаться (от чего)
옥살이	옥살이 獄－; пребывание в тюрьме
우울증	меланхолия/депрессия
생기다	появляться; возникать; случаться; происходить; приобретать; находить; выглядеть; 근심이 ~ почувствовать беспокойство; 그 사란은 어디서 돈이 생겼지? Откуда у него деньги берутся?; 그 여자는 어떻게 생겼죠? Какая она из себя? Как она выглядит?; 그는 나이보다 젊게 생겼다 Он выглядел моложе своих лет; 무슨 일이 생겼지? Что с тобой случилось?
주둔	주둔 駐屯; пребывание (войск); базирование; расположение; дислокация; размещение
포병대	артиллерийская часть
소장	소장 少將; генерал-майор; 해군~ контр-адмирал;
쌍둥이	쌍둥이 雙－; близнецы; двойня
친아버지	親－ родной отец
지다	1. падать; вянуть; заходить; исчезать; вымирать; умирать; 꽃이 곧 지겠다 Скоро завянут цветы.; 해가 ~ Заходит солнце.; 해가 질무렵 в сумерках; 얼룩이 지지 않는다 Пятно не исчезает.; 2. затенять; пятнать; пачкать.; 그늘진 거리 тенистая улица.; 3. взваливать что на спину; нести что на спине; быть обязанным; должен кому; нести ответственность.; 무거운 짐을 지고 가다 нести тяжёлый груз на спине.; 나는 그에게 신세를 졌다 Я обязан ему.; 그가 이 일에 책임을 지고 있다 Он несёт ответственность за это.; ; 지다 ; терпеть поражение; проигрывать; уступать; сдаваться; 지기 싫어하는 упорный; непреклонный; 지기 싫어하는 성격 непреклонный характер; 전쟁에서 ~ терпеть поражение на войне (на состязании); 소송에서 ~ проигрывать судебный процесс; 감정에 ~ предаваться чувствам; 유혹에 ~ поддаваться соблазну; 유혹에 지지 않다 не сдаваться (поддаваться) соблазну; 그의 재주는 누구에게도 지지 않는다 Он никому не уступает в таланте; 일본은 한국에게 2대 1로 졌다 Японцы проиграли корейцам со счётом два один.
재혼	재혼 再婚; второй брак; ~하다 вторично вступать в брак
세상	세상 世上; мир; свет; ~없는 не имеющий себе равных; ~없어도 при любых обстоятельствах; ~없이 несравненно; бесподобно; ~에 Боже мой!; ~을 등지다 удаляться от мира; жить затворником; ~을 모르다 совершенно не разбираться в жизни; ~을 모르고 자다 спать как убитый; ~이 바뀌다 коренным образом изменяться; ~을 떠나다 скончаться; уйти из жизни; 나는 결코 자본주의 ~에서 살아본 적이 없었다 Я никогда не жил в капитапистйческсм мире.; ~만사 всё на свете; ~살이 жизнь
떠나다	отправляться; оставлять; покидать; исчезать; пропадать; 길을 ~ отправляться в путь; 현실을 ~ отрываться от действительности
철도사고	train crash
개업	개업 開業; ~하다 открывать предприятие (дело)
중단	중단 中斷; перерыв; промежуток; пауза; интервал; перекур; окно; антракт; ~하다 прекращать; переставать; прерывать; 작업의 ~ перерыв в работе; 자주 ~되는 작업 работа с перебоями; 회의 ~ перерыв в заседании; 전류의 ~ перебой в подаче электрического тока
옮기다	переводить; перемещать; переносить; передавать; пересказывать; передавать (услышанное)
수입	수입 收入; доход; приход; поступления; ~의 доходный; приходный; ~하다 получать доход; приходовать; 당신의 개인 ~은 얼마나 되는가? А каковы ваши личные доходы?; ; 수입 輸入; импорт; ввоз; ~하다 импортировать; ввозить
유언	유언 遺言; завещание; воля; предсмертная воля; желание; последние слова ; ~하다 завещать; ~에 따라 согласно воле; ~ 남기지 않고 죽다 умереть; не оставив завещания
재산	재산 財産; имущество; состояние; 국유~ государственное имущество; 사유~ частное (личное) имущество; 지적 ~ интеллектуальная собственность; ~목록 опись имущества; ~몰수 конфискация имущества
양도	양도 讓渡; уступка; передача; ~하다 передавать; уступать; ~할 수 있는 допускающий передачу; 소유권을 ~하다 передавать имущественные права
자매	자매 姉妹; сестры; ~도시 города-побратимы
한하다	한하다 限－; ограничиваться; 짧은 이야기로 ~ ограничиваться временем при выступлении; 어떤 사람의 권리를 ~ ограничивать кого в правах
경우	경우 境遇; обстоятельства; ситуация; случай; пример; возможность; шанс; отдельный пример; 이 ~ в этом случае; 그런 ~ в таком случае; 모든 ~에 во всех случаях; ...한 ~에는 в случае; в случае чего; если...; 보통의 ~면 при обычных обстоятельствах; 대개의 ~에는 в большинстве случаев; 필요한 ~ в случае нужды; ~에 따라서 в соответствии с ситуацией, согласно обстоятельствам; в зависимости от обстоятельств; 내 ~에는 в моем случае
일정하다	일정 一定; ~하다 определённый; установленный; регулярный; определять; устанавливать; 일정 日程; программа; расписание; повестка дня
액수	액수 額數; сумма (денег)
유산	유산 遺産; наследие; наследство; ~ 상속인 наследник; 문화 ~ культурное наследие
덕분	덕분 德分; милость; ~에 благодаря кому-л.
넉넉하다	достаточный; обильный; быть с запасом; зажиточный; 넉넉히 достаточно; с запасом; с излишком; 넉넉한 살림 обеспеченная жизнь; 돈이 넉넉하다 иметь много (достаточно) денег; 시간이 넉넉하다 иметь достаточно (много) времени
방해	방해 妨害; препятствие; помеха; преграда; ~하다 мешать (кому-чему); препятствовать; тормозить; чинить препятствия; ~가 되다 быть помехой (препятствием); ~되지 않습니까? Не помешаю вам?; 라디오가 공부하는 데 ~가 되었다 Радио мешало мне заниматься
난폭	난폭 亂暴; насилие; грубость; ~하다 буйный; грубый; ~한 행실 буйное поведение; ~하게 굴다 буйствовать; грубить
사귀다	общаться; дружить; водить знакомство с кем-либо; пересекаться; скрещиваться; 사귀기 어려운 여자 женщина, с которой трудно общаться; 사귀기 좋은 사람 дружелюбный (общительный) человек; 얼마나 사귀다 결혼했어요? Сколько вы были знакомы перед тем как поженились?
끼리	между собой; вместе; ~~ друг с другом
틀어박	hoard; keep in dead storage;
그러다가	then
이따금	то и дело; часто; время от времени
붙들다	ухватить; ухватиться; браться (за дело и т. п.); помогать; поддерживать; 달아나는 도둑을 ~ ловить убегающего вора; 손님을 ~ принимать гостей
벌이다	раскладывать; расставлять; распростирать; начинать; основывать; открывать
본래	본래 本來; с (самого) начала; изначально; искони; вообще; по природе; по существу; по сути дела
광적	狂的 ~이다 сумасшедший; безумный; неистовый
격렬	격렬 激烈; ~하다 ожесточённый; бурный; буйный; пламенный; ~한 논쟁 ожесточённый спор
열대지방	
더욱	ещё более; ~좋아지다 становиться лучше; улучшаться; ~큰 소리로 말하다 говорить еще громче
거치다	заходить за что; заезжать за что; преодолевать; задевать; спотыкаться; 거쳐서 через что
끌리다	1. тянуть; тащить; 범인이 현장에서 붙들려 경찰서로 끌려갔다 Преступник был поймат с поличным и отправлен в полицию.; 2. тащиться; волочиться; 치마가 끌리다 Ее платье волочилось по полу.
생기	생기 生氣; живость; бодрость; жизненность; ~가 엾는 безжизненный; ~가 있는 оживлённый; живой; полный жизни
해도	해도 海島; морской остров; ; 해도 海濤; морские волны
슬슬	незаметно; слегка; не спеша; втихомолку; украдкой; ~ 걸어가다 брести; ~ 다가가다 подходить украдкой; 눈이 ~ 녹고 있다 Незаметно тает снег.; ~ 어루만지다 слегка поглаживать
피하다	избегать; уклоняться; избавляться; укрываться; прятаться
세다	1. сильный; 당신은 손 힘이 세니, 이 덮개를 뽑아주시요 У вас сильные руки, отвинтите эту крышку.; 센 바람이 일었다 Поднялся сильный ветер.; 2. жёсткий; грубый; твёрдый; 뻣뻣하고 센 머리털 жёсткие волосы; ; 세다 ; седеть; бледнеть; сереть; 그는 머리가 셌다 Он поседел.; ; 세다 ; считать; сосчитать; 돈을 ~ считать деньги; 백가지 ~ считать до ста; 손가락을 곱아 ~ Считать на пальцах.; 권투선수는 아홉까지 카운터를 세었을 때에야 일어났다 Когда сосчитали до девяти, боксёр поднялся.
절대로	절대로 絶對－; абсолютно; категорически; безусловно
참다	терпеть; переносить; удерживаться; сдерживаться; держать себя в руках; 고통을 ~ терпеть страдания; 굴욕을 ~ переносить унижение; 열기를 ~ переносйть жар; 모욕을 ~ переносить оскорбление; 졸음을 ~ терпеть сонливость; 치통을 ~ переносить зубную боль; 참을 수 없는 невыносимый; не в силах терпеть; 아파서 도저히 참을 수 없다 Не в состоянии терпеть боль.; 나는 도무지 웃음을 참을 수가 없다 Я не могу удержаться от смеха.
대장간	대장간 －間; кузница
강물	강물 江－; речная вода; река
던지다	бросать; выбрасывать; забрасывать; кидать; метать; 공을 ~ бросать мяч; 담배꽁초를 휴지통에 ~ бросить окурок в урну; 시선을 ~ кидать взоры на кого-что; 아무데나 마구 ~ бросать куда попало; 피문을 ~ вызвать сенсацию
행패	행패 行悖; бесцеремонность поведения; произвол; ~하다 бесцеремонно вести себя; творить произвол
부리다	заставлять работать; водить (напр, машину); править (напр, лошадью); проявлять (какие-л. качества)
동네	동네 洞－; селение; деревня; 한 ~ 사람 односельчан; ~ 방네 вся деревня
털다	стряхивать; вытряхивать; выбивать; сметать; обворовать; обчистить; 옷의 먼지를 ~ стряхивать с одежды пыль; 지붕에서 눈을 털어내다 сметать снег с крыши; 도둑이 빈 집을 ~ вор обворовывает пустой дом
겨우	едва; еле; с трудом; ~~ едва-едва; ~ 두 사람 남았다 Осталось лишь два человека.; ~ 살아가다 перебиваться; ~ 열차 시간에 댔다 Едва успел на поезд.
떠돌이	a vagabond; a drifter;
가시덤불	a thorny thicket[shrub
무성	무성 無聲; беззвучный; немой; безголосый; ; 무성 茂盛; ~하다 густой; становиться густым; густо расти; 언덕에는 풀이 ~하였다 На холмах росла густая трава
천막	천막 天幕; палатка; шатёр; ~을 치다 разбйть палатку
치다	1. играть (в мяч; в карты); нападать; атаковать; вилять (хвостом); валить; мести; сильно дуть; хлестать; биться; хлопать в ладоши; шалить; посылать телеграмму; вить (верёвку); громко крикнуть; печатать; бежать; спасаться бегством; 2. опускать (штору); закидывать (сети); ставить (ширму); натягивать (сетку от комаров); возводить (стену); ставить перегородку (ограду); плести (паутину); 3. чистить; очищать; вытирать; подтирать; 4. приносить (потомство); пускать (корни); держать (скот; птицу); держать (квартирантов); 5. подвергаться; испытывать; 시험을 ~ сдавать экзамен; 6. принимать в расчёт; примерно (приблизительно) подсчитывать
허락	허락 許諾; разрешение; согласие; ~하다 разрешать; давать согласие на что; одобрять; 누구의 ~을 받고 당신은 이 방에 들어왔습니까? Кто вам позволил войти в эту комнату?
보답	보답 報答; ответ (на заботу; внимание); ~하다 отвечать (на заботу; внимание); воздать десятерицею; ...의 ~으로 в ответ (на что-л.)
대접	миска; 국을 담은 ~ миска с супом; ; 대접 待接; 1. угощение; ~손님에게 과일을 ~하다 угощать гостей фруктами; 2. приём; обращение; ~하다 угощать кого чем; принимать; обращаться с кем; 정성스런 ~ сердечный прием; 저녁 ~을 받다 быть приглашенным на ужин
한패	one of the (same) party; an accomplice
게다가	к тому же; вдобавок; более того; сверх того
현지인	местный житель; абориген
통하다	через; посредством кого-чего
들이다	1. заставлять (позволять) входить; впускать; принимать; 2. красить; окрашивать; 빨간물을 ~ окрашивать в ярко-красный цвет; 3. вселять; поселять; 친척을 자기집에 ~ поселить у себя родственников; 4. давать; предоставлять; 돈을 ~ ассигновать средства
표범	표범 豹－; леопард; леопардовый
묶이다	быть связанным (перевязанным)
두려워하다	бояться; страшиться; испытывать боязнь (страх); опасаться; трусить; робеть перед кем
결코	결코 決－; ни в коем случае; абсолютно; совершенно; никак не; отнюдь
하녀	하녀 下女; служанка; горничная; прислуга; ~로 일하다 служить (работать) горничной (прислугой)
안일	домашняя работа; работа по дому; ; 안일 安逸; беззаботность; праздность; беспечность; ~하다 беззаботный; праздный; беспечный; ~한 젊은이 беззаботный юноша
짐작	짐작 斟酌; догадка; ~하다 догадываться; предполагать; ~하건대 вероятно
유별	유별 有別; особенный; необычный; отличный; различный; ~난 사람 необычный человек; ; 유별 類別; классификация; сортировка; ~하다 классифицировать; сортировать
또래	ровесники; одногодки
신분	신분 身分; общественное (социальное) положение; профессии; личность; индивидуум; лицо; сословие; ~적 сословный; ~을 밝히다 установить личность кого; ~을 속이다 скрывать свою сущность; скрывать своё лицо; 농노 ~ крепостное сословие
접촉	접촉 接觸; соприкосновение; контакт; ~하다 соприкасаться; контактировать; быть в контакте; ~을 가지다 устанавливать (поддерживать) контакт с кем
이모	이모 姨母; тётя (сестра матери)
머물다	stay at
대기	대기 待機; ожидание; выжидание; простой; ~하다 ожидать; выжидать
해병대	해병대 海兵隊; морская пехота
소령	소령 少領; майор; командующий
남기다	оставлять; извлекать выгоду ; 남김없이 без остатка; всё целиком; 메모를 ~ оставлять записку; 재산을 ~ оставлять имущество; 흔적을 ~ оставлять след; 장사에서 남긴 돈 выручка; вырученные деньги
기대다	1. опираться; прислоняться; покоиться; 기대어 앉다 сесть, прислонившись к чему; 지팡이에 ~ опираться на трость; 책상에 ~ прислоняться к столу; 2. надеяться на; быть уверенным; полагаться; рассчитывать на кого-либо; зависеть от кого-либо
가늘다	1. тонкий; стройный; грациозный; узкий; тесный; 가는 목 тонкая шея; 눈을 가늘게 뜨고 보다 прищуриться; 가늘어지다 утончаться; 2. тонкий; мелкий; высококачественный; хороший; 3. слабый; слабовольный; щуплый
흘낏	keep sharply[angrily]
정확하다	정확 正確; ~하다 правильный; точный
휘파람	свист; ~을 불다 свистеть
잠귀	~가 어둡다 крепкий (о сне); ~가 밝다 чуткий (о сне)
깨다	1. пробуждаться; проснуться; очнуться; прийти в себя; протрезвляться; 2. постигнуть; понять; быть просвещённым; 잠에서~ пробудиться ото сна; ; 깨다 ; 1. разбивать; ломать;; 2. наносить рану; ранить; 3. нарушать; подрывать; ~낡은 관습을 ломать старые обычаи; 정적을~ нарушить тишину
질색	窒塞  испытывать отвращение; неприятно поражаться;
잔디밭	лужайка; газон; ~에서 바늘 찾기 искать иголку в стоге сена
불다	дуть; раздувать; играть (на духовом инструменте); свистеть; выдавать (секрет); 바람이 ~ дует ветер; 손을 호호 ~ дуть на руки; 휘파람을 ~ свистеть; 피리를 ~ играть на свирели
정원	정원 庭園; двор и цветник
잠들다	1. заснуть; 2. умереть
