항구	항구 港口; гавань; порт; ~ 도시 портовый город
킬킬거리다	сдержанно смеяться
이윽고	спустя некоторое время
구부리다	сгибать; изгибать
홱	резко; круто; порывисто; живо; быстро
비틀거리다	идти пошатываясь
뒷걸음질	stepping backward;
고랑	борозда; ; 고랑 ; наручники; ~을 채우다 надевать наручники; заковывать в кандалы
박다	забивать; вбивать; втыкать; класть; начинять; засовывать; штамповать; печатать; снимать; фотографировать; шить; делать стежки; 벽에 못을 ~ вбивать (забивать) гвоздь в стену; 쐐기를 ~ вбить клин
꼼짝	~하다 еле двигаться; ~못하다 быть не в состоянии шевельнуться; быть связанным по рукам и по ногам; ~안하다 не шелохнуться; не изменить мнения; стоять на своём; ничего не делать; палец о палец не ударить; не казать носа куда-либо; слова не сказать против кого-либо
맡다	 smell (at) <a flower> / take a smell <at>
슬금슬금	незаметно; тайком; втихомолку; без усилий
부근	附近; окрестность; близость; соседство; 서울 ~ окрестности Сеула; ~에 아무도 없었다 В окрестности не было никого.
뚫리다	1. продырявливаться, худиться; проделываться; образовываться (об отверстии, дырке) ; 그는 구멍 뚫린 회색 양말을 신고 있었다. На нём были дырявые серые носки.; 2. прокладываться; строиться (о пути, дороге) ; 3. расчищаться; освобождаться (о дорожном заторе) ; 4. (в образ. выраж.) ; 뚫린 입이라고 함부로 지껄이지 마라. Не бросайся болтать, не подумав.; 조세 체계에 큰 구멍이 뚫렸다. В налоговой системе образовалась брешь.; 주전 선수들의 부상으로 우리 팀 수비에 구멍이 뚫렸다. Из-за ранения главных игроков, в защите нашей команды образовалась брешь.
검붉다	тёмно-красный
다물다	закрывать; сжимать; 꼭 다문 입술 крепко сжатые губы; 입을 ~ сжимать губы; молчать
카운터	англ. counter; кассир; касса
팔꿈치	локоть; ~로 찌르다 подтолкнуть локтем; ~는 가까워도 깨물지는 못한다 Близок локоть, да не укусишь.
곁	бок; ~에 сбоку; рядом; около; покровитель; ~(이) 비다 одинокий; беззащитный
드러눕다	лечь; улечься
튀다	отскакивать; трескаться; лопаться; рассыпаться; разогнувшись, сойти со своего места; сбежать; брызгать; разлетаться; заметно выступать (выделяться)
외마디	одно колено; один сегмент; одно слово; одна фраза
지르다	кричать; громко петь; с силой ударять; ткнуть; пнуть; втыкать; вонзать; вставлять; всовывать; закрывать дверь на засов; разводить; идти напрямик; 고함을~ кричать; 발로 정강이를~ ударить кого по ногам; 빗장을 ~ запирать дверь на засов; 집에 불을~ поджигать дом; 질러가는 길이 돌아가는 길이다 Тише едешь - дальше будешь.
맞다	1. попадать во что; попадать подо что (в что); получать что; принимать кого; 총알이 바로 맞았다 Пуля попала в цель.; 비를 ~ попадать под дождь; 폭풍을 ~ попадать в буран; 눈보라를 ~ попадать в метель; 봄을 ~ встречать весну; 퇴짜를 ~ быть отвергнутым; 매를 ~ быть (по)битым; 뺨을 ~ получить пощёчину; 총을 ~ получить пулю; 주사를 ~ получать укол; 손님을 ~ принимать гостей; 도적을 ~ быть ограбленным; 남편을 ~ выходить замуж; 아내를 ~ жениться; 사위를 ~ выдавать дочь замуж; 2. подходить; соответствовать; совпадать; быть (оказаться) впору; быть правильным (точным); 이 옷이 너에게 맞는다 Этот костюм тебе идёт (тебе к лицу).
총구	銃口; дульная часть; дуло
건지다	(из воды) вынимать; вытаскивать
구급차	救急車; машина скорой помощи
도매상	都賣商; оптовик; оптовый торговец
기르다	выращивать; выхаживать; откармливать; воспитывать; выпестовать; воспитывать; прививать; отращивать; запустить; 아이들을 ~ выращивать детей; 우수한 전문가를 ~ воспитывать способных специалистов; 음악에 대한 취미를 ~ прививать вкус к музыке
머리통	окружность головы; башка
개이다	прояснеть (о погоде); рассеиваться (о тревоге); 비가 ~ Дождь кончается.
무렵	время; момент; пора; 그 ~에 тогда; в те времена; 바로 이 ~에 как раз в это время; 동틀 ~에 к рассвету; 저녁 ~에 к вечеру; 일이 끝날 ~에 когда заканчивали работу; 1990년 ~부터 примерно с 1990 года
시찰	視察; инспекция; осмотр; ~하다 инспектировать; осматривать; ~단 комиссия инспекторов; группа наблюдателей
소재지	所在地; место расположения (чего); административный центр; 도~ провинциальный административный центр
의뢰	依賴; просьба; поручение; ~하다 полагаться на кого; зависеть от кого; просить кого о чём; поручать кому что;
이튿날	второе число; следующий (другой) день; 칠월 ~ второе июля; ~ 아침 на другое утро
가라앉다	1. тонуть; затонуть; 2. успокаивать; успокоить; умиротворять; униматься; 바람이 가라앉았다 ветер стих; 3. исчезать; утихать; отгреметь; улечься; замирать; угасать; 그의 열은 가라앉았다 У него упала температура
줄기차다	неустанный; непрерывный; непрестанный; безостановочный; непрекращающийся; сплошной; сильный; мощный; могучий; энергичный; активный; 줄기찬 의지 непреклонная воля; 줄기차게 일하다 непрестанно трудиться; 줄기차게 비가 내리다 неустанно и сильно идёт дождь; дождь льёт как из ведра; 줄기차게 담배를 피우다 непрерывно курить
물다	держать (во рту, в клюве); кусаться; хватать; 담배를 ~ держать сигарету во рту; ; 물다 ; платить; возмещать; 얼마나 물어야 합니까? Сколько с нас?
어쩐지	почему-то; отчего-то; неудивительно, что; вот почему; ~ 그가 기쁜 얼굴을 하고 있너라 Это объясняет его радостное лицо.
음산	陰散; ~하다 пасмурный; хмурый; неуютный; мрачный
한눈	~(을) 팔다 смотреть по сторонам; заглядываться; 산에서 온 마을이 ~에 보인다 С горы вся деревня видна как на ладони.
단골	1. излюбленное место (кого-л.); ~식당 излюбленная столовая; 2. постоянный посетитель
혈색	血色; цвет лица; покраснение кожи; румянец; цвет крови; 그는 ~이 나쁘다 Он бледен.; 그는 ~이 좋다 У него здоровый цвет лица.
둥글다	круглый; становиться круглым; округляться; 둥근 얼굴 круглое лицо; 둥글게 하다 округлять
입가	уголки рта
여태	до сих пор; до сего времени, последствия
활약	活躍; деятельность; активность; ~하다 играть активную роль; быть активным; активно действовать
등대	燈臺; маяк
재산	財産; имущество; состояние; 국유~ государственное имущество; 사유~ частное (личное) имущество; 지적 ~ интеллектуальная собственность; ~목록 опись имущества; ~몰수 конфискация имущества
편안	便安; спокойствие; благополучие; ~하다 спокойный; благополучный; ~히 спокойно; благополучно; ~히 주무십시오 Спокойной ночи.; 만사가 ~하다 всё обстоит благополучно
일어서다	подниматься; вставать (на ноги); вставать и идти вперёд
은빛	銀－; серебристый цвет
콧수염	-鬚髥; усы
승마	乘馬; верховая лошадь; ~하다 садиться верхом
멋	вкус; элегантность; щегольство; ~을 내다 щеголять; модничать
면허	免許; разрешение; одобрение; патент; 운전 ~증 водительские права; разрешение на управление транспортного средства
별장	別莊; дача; загородный дом; 내 친구는 경치 좋은 곳에 ~을 마련하였다 Мой друг приобрёл дачу в хорошем месте.; ~지기 дачный сторож
차다	холодный; прохладный; промозглый; заполняться; наполняться; оканчиваться; истекать; ударять ногой; давать пинок; лягать; прицеплять (саблю); прикреплять (орден); 마음에 ~ быть довольным чем нравиться кому; 공을 ~ бить по мячу; 게를 ~ ударить ногой собаку; 혀를 ~ прищёлкнуть языком; 문을 ~ пнуть ногой дверь; 정강이를 ~ ударить (пнуть) по ногам; 칼을 ~ быть при шпаге; 혁대를 ~ скреплять ремнями; 그녀의 눈은 눈물로 가득 찼다 Её глаза наполнились слезами.; 강은 통나무들로 가득 찼다 Река была загружена брёвнами.; 조수는 하루에 두 배나 찼다 Прилив и отлив происходит два раза в сутки.; 그의 임기는 내년에 찬다 Срок его пребывания на посту истекает в будущем году.
비뚤다	crooked; awry; wry; skew
붉다	красный; 붉은 광장 Красная площадь
기울이다	склонять; наклонять; сосредотачивать; 고개를 ~ наклонять голову; 귀를 ~ прислушиваться; склонить ухо к чему; 힘을 ~ прилагать усилия к чему; вкладывать душу во что
마주치다	натыкаться на кого, сталкиваться с кем; 시선이 ~ встречаться взглядами; 문에서 아버지와 ~ сталкиваться с отцом в дверях
스커트	skirt; юбка
앞치마	передник; кухонный фартук; 설거지를 할 때 ~를 두르다 надевать фартук при мытьё посуды
두르다	окружать; огибать; обходить по краю; окутывать; обматывать; обвязывать; надевать; 목도리를 목에 ~ обвязать шею шарфом; 머리에 수건을 ~ повязать голову платком
노려보다	пристально смотреть на (кого-что); бросать алчные взгляды; 매서운 눈초리로 ~ бросить свирепый взгляд
되쏘다	 shoot back;
오히려	наоборот; скорее всего
어찌	как; каким образом; почему; отчего; ~ 할 수 없이 поневоле; вынужденно; ~ 할 줄 모르다 не знать, что делать
저런	вот это да; неужели
끔찍	чрезвычайный; ужасный;
악질	惡疾; серьёзное заболевание; тяжёлая болезнь; ; 악질 惡質; порочность; злодей; порочный человек; злюка; ~적 порочный; злющий
소행	所行; проделанная работа; совершённый поступок; поведение
지껄이다	болтать; проговариваться; выбалтывать; разбалтывать; распускать язык; тараторить; трепаться; 두서없이 ~ говорить бессвязно; у кого язык без костей; 쉬지않고~ тараторить; 함부로~ трепать языком; давать волю языку; 잘 지껄이는 사람 болтун
줄거리	интрига; сюжет рассказа; фабула; ~의 전개 развитие сюжета
간밤	вчерашний вечер; прошлая ночь
잔소리	ворчание; брюзжание; ~하다 ворчать; брюзжать
빈집	пустой (заброшенный) дом
우편함	郵便-; почтовый ящик
지우다	1. грузить; нагружать кого-что чем (кого-что на кого-что); 마차에 의무를 ~ нагружать телегу; 2. поручать; возлагать обязанность; 개인적 의무를 ~ возлагать на личную ответственность; 3. вытирать; стирать; 나는 그에 대해 눈물을 지우지 않을 것이다 Я о нём не заплачу.; 4. делать аборт; 그녀는 아이를 지웠다 Она сделала аборт.
신고	申告; подача сведений; сообщение; заявление; ~하다 подавать заявление; заявлять о ком-чем; сообщать кому о чём; докладывать; делать заявку; 세관 ~ таможенная декларация; 출생 ~ сообщение о рождении; ; 신고 辛苦; тяготы; лишения; невзгоды; ~하다 мучиться с кем-чем (над кем-чем); страдать от чего, за кого-что; испытывать мытарства; 그는 이 일로 ~를 겪었다 Он мучился над этой работой.
골목길	переулок
달아나다	бежать; мчаться; убегать; удирать; обращаться в бегство; миновать; исчезать; улетать; 감옥에서 ~ убегать из тюрьмы; 허겁지겁 ~ удрать в спешке; 단추가 달아났다 Пуговица оторвалась.; 입맛이 달아났다 Аппетит пропал.; 잠이 달아났다 Пропал сон.
검증	檢證; подтверждение; доказательство; ~하다 удостоверять подлинность; заверять
중상	重傷; тяжёлое (серьёзное) ранение (увечье); тяжёлая рана; ~을 입다 получать тяжёлое ранение; 총탄으로 ~을 입으 병사 боец, тяжелораненый пулей; 치명적인 ~을 입다 получать смертельное (тяжёлое) ранение
응급	應急; ~의 срочный; экстренный; временный; ~대책 срочные (экстренные) меры; ~수리 срочный ремонт; ~처치 первая (медицинская) помощь
치료	治療; лечение; терапия; ~하다 лечить
강도	强盜; грабитель; разбойник; гангстер; ~를 당하다 быть ограбленным
친숙	親熟; ~하다 хорошо знакомый; быть хорошо знакомым; быть близким; 서로 ~해지다 сблизиться
식전	食前; до завтрака; до еды; перед едой; натощак; ~에 약을 먹다 принимать лекарство натощак
원망	怨望; сетование на кого-что; жалоба на кого-что; ~하다 сетовать на кого-что; пенять кому за что; жаловаться на кого; ~스러운 얼굴 не довольное выражение лица
게다가	к тому же; вдобавок; более того; сверх того
말문	－門; рот; ~을 막다 зажать (заткнуть) рот; ~을 떼다(열다) открыть рот; заговорить; нить разговора
사납다	злой; свирепый; крутой; жестокий; страшный; отвратительный; 사나운 바다 разбушевавшееся море; 사나운 세상 жестокий мир
쟁반	錚盤; латунное блюдо; круглый латунный поднос
받쳐들다	нести, придерживая
빌다	1. желать; просить; молить; 행운을 ~ желать удачи; 2. занимать; заимствовать
건배	乾杯; тост; ~를 제의하다 предложить (провозгласить) тост
묵묵히	默默-; молчаливо; молча; не говоря ни слова
찌푸리다	хмурить (лицо; брови); морщить; насупиться; прищуривать (глаза); покрытый облаками; облачный; мрачный; хмуриться; 찌푸린 날씨 облачная погода; 얼굴을 찌푸리고 с хмурым лицом; 이마를 ~ нахмурить брови; 얼굴을 ~ сделать перекошенное лицо; сделать гримассу; 그는 아파서 얼굴을 찌푸렸다 Его лицо было перекошено от боли.
떨다	дрожать; трястись
새끼	1. молодая особь; детёныш; негодяй; сволочь; ребёнок; 한 배의 ~ помёт; выводок; ~까마귀 воронёнок; 2. соломенная верёвка
빨다	1. сосать; 젖을 ~ сосать грудь; 말상대자가 담배를 깊게 빨았다 Мой собеседник глубоко затянулся сигаретой.; 2. стирать; 옷을 ~ стирать одежду
설마	вряд ли; едва ли; авось; ~가 사람 잡는다 На "авось" не надейся.
겁	劫; будд. кальпа (санскр. kalpa); ; 겁 怯; страх; трусость; малодушие; ~결에 в испуге; ~이 많다 пугливый; боязливый; ~이 없다 бесстрашный; ~을 내다 бояться; испугаться; ~이 나다 бояться; ~을 먹다 струсить
진지	трапеза; ; 진지 眞摯; ~하다 искренний; ~하게 искренне; ; 진지 陣地; позиция; ~를 펴다 занимать позицию
더러	1. несколько; немного; незначительно; некоторая часть; некоторые; ~그렇게 이야기 하는 사람도 있다 Некоторые так говорят.; 2. кое-что; кое-кто; 3. иногда; временами; местами; 우리는 ~ 만나기도 한다 Мы иногда встречались.
흠칫	от испуга; от неожиданности; ~하다 вздрогнуть от испуга (неожиданности)
잠자코	молча; безмолвно
초조	焦燥; ~하다 беспокойный; тревожный
매만지다	приводить в порядок; приглаживать
새파랗다	тёмно-синий; 새파란 하늘 синее небо
질리다	1. надоесть кому; наскучить чем; 그 여자에게 질렸다 Она мне надоела.; 질리도록 보다 намозолить глаза кому; 혐오할 정도로 ~ набить оскомину; 질리도록 먹다 сыт по горло чем; 2. бледнеть; стать бледным; 무서워서 하얗게 질렸다 Лицо побледнело от страха.; 3. трусить перед кем-чем; 시험에서 ~ испытывать страх на экзамене
안절부절	~못하다 не находить себе места; беспокоиться; 시험을 앞두고 ~못하다 волноваться перед экзаменом
놓이다	быть отпущенным; быть освобождённым; успокаиваться; находиться; лежать (на чём); быть установленным; быть сооружённым; 기숙사 입구에 전화가 놓였다 У входа общежития установлен телефон.; 나는 지금 곤란한 처지에 놓여 있다 Сейчас я нахожусь в затруднительном положении.
선반	－盤; полка; токарный станок
전등불	電燈-; свет электрической лампочки
뜨다	1. подниматься; взлетать; открыть; раскрыть; всходить; плавать; плыть; парить; 2. покидать; оставлять; уезжать; уходить; 3. вязать; плести; аккуратно шить; 4. 각으로 ~ разделывать тушу; 포를 ~ мелко нарезать; 5. медленный; далёкий; отдалённый; нечувствительный
뚜렷이	отчетливо; ясно; четко; 그 사원은 하늘에서도 ~ 보였다. Храм был отчетливо виден с воздуха.; 그는 모든 것을 아주 ~ 기억할 수 있었다. Он мог помнить все очень отчетливо.
하마터면	чуть было не ...; едва не ...; ёле; едва ли не; ~ 죽을 뻔했다 чуть не погиб; еле спасся; 그는 ~ 넘어질 뻔했다 Он чуть было не упал.
우물거리다	кишмя кишеть; толпиться; ; 우물거리다 ; медленно жевать; шевелить губами
오직	только; лишь
묻히다	быть закрытым (закопанным, погребённым); находиться в недрах; погрязнуть (в чём-либо); ; 묻히다 ; намазывать; 가루를 ~ обваливать в муке
수첩	手帖; записная книжка; блокнот
적다	1. записывать; писать; 2. немногочисленный; небольшой; маленький
깨뜨리다	1. разбивать; ломать; 접시를 ~ разбить тарелку; 2. нарушать; срывать; подрывать; 가정의 행복을 ~ разрушать семейное счастье; 기록을 ~ побить рекорд; 평화를 ~ нарушать мир
재촉	~하다 требовать; побуждать; торопить; подгонять
떼밀다	толкать всем телом
내쫓다	выгонять; изгонять; 직장에서 ~ выгонять со службы; 집에서 ~ выгонять из дома; 내쫓기다 быть выгнанным
사과주	沙果酒; яблочная наливка
겉면	-面; внешняя сторона
공포	公布; обнародование; официальное объявление; опубликование; ~하다 обнародовать; официально объявлять; опубликовывать; ; 공포 恐怖; страх; боязнь; ~ 정치 политика запугивания; ; 공포 空砲; холостой выстрел; ~ 사격 холостой выстрел; = 헛총
헐떡이다	loose(-fitting); baggy;
꼴	1. вид; картина; зрелище; 이런 ~로 в таком виде; ~불견이다 неприятно (отвратительно) смотреть; ~사납다 отвратительный; мерзкий; 2. скошенная трава; корм; фураж; сено
개새끼	щенок; (перен.) подлец
어느새	незаметно; как-то; уже
눈초리	взгляд; взор
앓다	болеть чем; быть больным; 앓는소리 стон; недовольство; жалоба; 앓던 이가 빠진 것 같다 Будто камень с сердца свалился.
모조리	всё; целиком; полностью
작정	作定; решение; намерение; ~하다 решаться; намереваться
축	~ 늘어지다 свисать; ~ 쳐지다 опустить; ; 축 縮; ~(이) 가다 съёжиться; осунуться; ~(이) 나다 не хватать; недоставать; ~(이) 지다 потерять авторитет; выдыхаться; ослабевать; худеть; ; 축 軸; ось; центральный стержень
아랫도리	1. нижняя часть туловища (тела); 2. брюки; штаны; юбка
낙서	落書; мазня на бумаге; надпись; неразборчивый почерк; ~하다 марать бумагу; небрежно писать; 벽에 ~하다 написать на стене оскорбительные слова
불쌍	~하다 жалкий, несчастный; 그의 처지가 ~ Его положение жалко.; ~하게 여기다 жалеть; ~한 처지 жалкое положение
살짝	слегка; незаметно; тайком; ~ 도망가다 незаметно убегать
눈짓	подмигивание
딴전	~을 부리다 заниматься посторонним делом; говорить на постороннюю тему
부리다	заставлять работать; водить (напр, машину); править (напр, лошадью); проявлять (какие-л. качества); 많은 사람을 ~ заставлять работать много людей; 재주를 ~ показывать фокусы; 요술을 ~ колдовать; 고집을 ~ упрямиться
귀엣말	귓속
지문	地文; элементы рельефа; ~항법 определение местонахождения по элементам рельефа; ; 지문 指紋; отпечатки пальцев; ~을 찍다 прикладывать палец; ~을 채취하다 снимать отпечатки пальцев; ~을 남기다 оставлять свои отпечатки пальцев; ~감정법 дактилоскопия; ~채취 снятие отпечатков пальцев; ; 지문 誌文; сведения об умершем и месте его захоронения
하찮다	неважный; нехороший; незначительный; несущественный; мелкий; ничтожный; 하찮은 일 пустяковое дело; 하찮은 일에 성내다 сердиться на пустяковое дело (по пустякам)
짓다	делать; создавать; приготовлять; устанавливать (связь; отношения); 옷을 ~ шить одежду; 집을 ~ строить дом; 밥을 ~ варить рис (на пару); 시를 ~ слагать стихи; 이름을 ~ давать имя; 한숨을 ~ вздохнуть; 웃음을 ~ улыбаться; 눈물을 ~ заплакать; 무리를 ~ собирать толпу (в стаю); 대오를 ~ строиться в ряды; 죄를 ~ совершать преступление
포장	包裝; упаковка; ~하다 упаковывать; ~하는 사람 упаковщик; ; 포장 鋪裝; мощение; покрытие; ~하다 мостить; покрывать; 콘크리트 ~ бетонированное покрытие; бетонированная дорожка
한구석	угол; захолустье; глушь; 방 ~에 в одном углу комнаты
장사	торговля; купля-продажа; ~하다 торговать; ; 장사 壯士; удалой молодец; богатырь; ; 장사 葬事; похороны; погребение; кремация; ~를 지내다 хоронить; погребать; ; 장사 長蛇; большая змея
지장	指章; отпечаток пальца; ~을 찍다 ставить отпечатки пальцев; ; 지장 支障; препятствие; помеха; проблема; вред; ущерб; неудобство; ~을 주다 мешать; препятствовать; 일을 하는데 아무런 ~이 없다 В работе нет никаких препятствий.; ; 지장 智將; находчивый генерал; мудрый полководец
늘어놓다	разбрасывать; раскидывать; распространяться; наплетать; 말도 안되는 소리를 ~ наплести чепуху; 온 방안에 온갖 잡동사니를 ~ разбросать всё (всякую всячину) по всей комнате
착수	着手; начало; ~하다 начинать; браться за дело; приступать к работе; предпринимать что; приниматься за дело; вставать (вступать) на путь чего; пускаться во что; 우리는 서둘러 일에 ~해야만한다 Мы должны немедленно приступить к работе.
흥분	興奮; волнение; возбуждение; раздражение; ~하다 быть в возбуждении; быть возбуждённым; волноваться; возбуждаться; раздражаться; ~시키다 волновать; возбуждать; раздражать; ~하여 в возбуждении; возбуждённо; взволнованно
점원	店員; продавец; продавщица; клерк
덜거덕거리다	clatter; rattle; crackle.
투덜대다	투덜거리다
골치	голова; ~ 아픈 일 источник беспокойства; проблема; тревога; ~를 앓다 беспокоиться о ком-чём; мучиться с кем-чем {над кем-чем)
묵다	быть старым; отдыхать; находиться под паром; 묵은 솜 старая вата; 묵은 밭 залежные суходольные земли; ; 묵다 ; ночевать; останавливаться
마디	узел; колено; сустав; сочленение; сегмент; слово; фраза; куплет; такт; 뼈~ сочленение костей; 한 ~도 ни (одного) слова
체하다	滯－; страдать несварением желудка
단조롭다	單調-; монотонный, однообразный; 단조로움 монотонность, однообразие; 단조로운 경치 однообразный пейзаж; 단조로이 монотонно, однообразно
뒤섞이다	быть перемешанным (перепутанным; перетасованным); 책이 모두 뒤섞여졌다 Все книги перемешались.
무적	無敵; непобедимый; не имеющий себе равных; ~의 군대 непобедимая армия; ~ 함대 непобедимая армада
끼다	1. заволакиваться; садиться; покрываться чем; зарастать; появляться на лице; звучать голосе; 그녀의 얼굴에 수심이 끼었다 У неё на лице лежит тень.; 책상에 때가 끼었다 Стол покрыт грязью.; 하늘에 먹구름이 끼었다 Небо заволокло тучами.; 2. вставлять; вкладывать; помещать; надевать; омывать; прибегать к помощи; использовать в своих интересах; дополнять; добавлять; присоединять; 결혼반지를 손가락에 ~ надевать обручальное кольцо на палец; 모스크바 시는 강을 끼고 있다 город Москву омывает река; 창틀에 유리를 ~ вставить стекло в оконную раму
뱃고동	пароходный гудок
치우다	убирать; приводить в порядок; прибирать; доедать; съедать до конца; бросать (остаапять) на середине; 먹어 ~ съесть
빈혈	貧血; малокровие; анемия
풍만	豊滿; ~하다 богатый; обильный; полный; пухлый; округлый; ~한 고장 благодатный край; 가슴이 ~한 여인 полногрудая женщина
몸매	телосложение; фигура
끌어당기다	притягивать; тянуть
노릇	роль; функция; занятие; работа; жалкое (бедное) положение; 목수 ~을 하다 работать столяром, ; 주인 ~을 하다 хозяйничать; 저런 딱한 ~이 있나 Какая беда (бедствие)!; 참 교육자 ~을 하기란 쉽지 않은 일이다. Быть настоящим педагогом - нелёгкое дело.
고아	孤兒; сирота; ~가 되다 осиротеть; ~생활 сиротская жизнь; ; 고아 高雅; ~하다 изящный; изысканный; элегантный
선원	禪院; = 선방(禪房); ; 선원 船員; экипаж (судна); член экипажа
조난	遭難; авария; бедствие; беда; столкновение; катастрофа; кораблекрушение; ~당하다 терпеть аварию (бедствие); ~구조대 аварийная служба; ~기금 вспомогательный капитал; ~현장 место аварии
쓸쓸	~하다 хмурый; угрюмый; грустный; 쓸쓸한 생각 грустные думы
못살다	жить бедно (трудно); 못살게 надоедливо; 못살게 굴다 тормошить
굴다	굴다 [학대하다] persecute; oppress; torment; be hard (up) on <a person>; be cruel to <a dog>;кем-либо плохо.
찾아오다	приходить; приходить с визитом; посещать; навещать; получать обратно; 작업상의 일로 ~ заставать за работой
모호	模糊; ~하다 неясный; неопределённый; туманный; ~한 대답 расплывчатый ответ; ~하게 하다 придавать неопределённый характер (чему); наводить тень (на ясный день)
띄우다	1. отправлять; 2. оставлять промежуток (расстояние)
험담	險談; злословие; пересуды; ~하다 злословить; отзываться о ком; пересуживать
이를테면	допустим; к примеру; скажем; так сказать
시중	ухаживание; уход; ~하다 (들다) ухаживать; прислуживать; ~을 받다 быть под присмотром кого; 그녀는 환자들을 잘 ~든다 Она хорошо ухаживает за больными.; 한자 ~ уход за больным; ; 시중 市中; город; ~ 은행 городской банк
묻다	зарывать; закапывать; погребать; скрывать; таить в душе; прятать; 어머니의 가슴에 얼굴을 уткнуться лицом в грудь матери; спрятать лицо на груди матери; ; 묻다 ; приставать; прилипать; 기름이 ~ замаслиться; ; 묻다 ; спрашивать; расследовать; вести следствие; 길을 ~ спросить, как пройти; узнавать дорогу; 책임을 ~ привлекать к ответственности
헐떡거리다	задыхаться; 그는 숨이 차서 헐떡거리며 왔다 Он шёл тяжело дыша.
겨우	едва; еле; с трудом; ~~ едва-едва; ~ 두 사람 남았다 Осталось лишь два человека.; ~ 살아가다 перебиваться; ~ 열차 시간에 댔다 Едва успел на поезд.
노리다	замышлять; задумывать; выжидать; метить в кого(что; куда) ; 기회를 ~ выжидать удобный случай; 자리를 ~ метить в начачьники; 복수를 ~ замышлять месть
구둣발	следы ботинок
자국	1. след; ~을 밟다 идти по следу; 2. шрам; ; 자국 自國; своя страна; родина; ~의 родной; отечественный
그치다	прекращать(ся); приостанавливать(ся); кончать(ся); переставать; ограничиваться; 그칠 사이 없이 непрестанно; ни на минуту не переставая; 그칠 줄 모르다 безудержный; 그칠 줄 모르는 박수소리 не смолкающие аплодисменты; 비가 그쳤다 Дождь перестал идти.; 말을 ~ перестать говорить; 그침 прекращение; приостановление; ограничение
뒤덮다	сплошь покрывать; 안개가 숲을 뒤덮었다 Туман окутал рощу.
빙그레	~ 웃다 мило улыбаться
감식	減食; ~하다 снижать рацион питания; ; 감식 鑑識; ~하다 оценивать; судить, разбираться; 지문감식 дактилоскопия
뜻밖	неожиданно
뿌리치다	стряхивать; 유혹을 ~ стряхнуть с себя соблазны
움츠리다	быстро сжимать; 몸을~ съёжиться
가엾다	жалкий; несчастный; бедненький; ничтожный; 가엾게 여기다 жалеть; сжалиться (над кем-л.); 가엾은 고아 несчастный сирота; 가엾기도 하다 какая жалость!
처녀	處女; девушка; девственница; незамужняя; дева; ~의 девичий; девический; ~다운 скромная; застенчивая; ~가 아이를 낳아도 할 말은 있다 Всему своя причина.; ~공연 дебют; ~ 생식 партеногенез; девственное размножение; ~시절 девичество; 노~ старая дева; 숫~ девственница
