금테	金－; золотой (позолоченный) ободок; ~ 안경 очки в золотой (позолоченной) оправе
고용	雇用; наём; занятость; ~하다 нанимать; ~계약 соглашение (контракт) о найме; ~노동자 наёмный рабочий; ~조건 условия найма; 불완전~ неполная занятость; 완전~ полная занятость
마땅	~하다 подходящий; соответствующий; должный; правильный; 마음에 ~하다 быть по душе; нравится; ~히 должным образом, как подобает
무척	очень; чрезмерно; безмерно
문헌	文獻; документ; классический труд; ~집 сборник документов; ~학 текстология; филология; архивоведение
추천장	推薦狀; рекомендательное письмо
착실	着實; ~한 верный; преданный всей душой; неизменный; приверженный к кому-чему; правдивый; достоверный; ~히 верно; преданно; ~한 돈방자 заслуживающий доверия; верная спутница; ~한 회사 надёжная фирма; ~하게 일하다 устойчиво работать
침착	沈着; хладнокровие; самообладание; невозмутимость; ~하다 хладнокровный; невозмутимый; спокойный; уравновешенный
적히다	быть записанным
서재	書齋; (рабочий) кабинет
시체	屍體; труп; трупик; ~의 трупный
거세다	сильный; мощный; грубый; 거센 파도 мощная волна
이상야릇	oddly
비슷	~하다 похожий; 모양이 ~하다 похожий вид
연금	年金; пенсии; рента; ~보험 пенсионное страхование; ~수령자 пенсионер; 종신~ пожизненная рента; ; 연금 軟禁; домашний арест; ~하다 посадить (взять) кого под домашний арест; ~되다 находиться под домашним арестом
돋우다	1. поднимать; повышать; стимулировать; усиливать; 식욕을 ~ возбуждать аппетит; 2. приподнимать; припускать; 3. злить; разжигать (ссору и т.п.); 부아를 ~ нервировать
대문	大門; (главные) ворота; парадная дверь; ~열쇠 ключ от (главных) ворот; ~을 닫(열) 다 закрыть (открыть) (главные) ворота)
빗장	засов; задвижка
살짝	слегка; незаметно; тайком; ~ 도망가다 незаметно убегать
걸치다	быть переброшенным (перекинутым) через что; перекидывать; перебрасывать; набрасывать; надевать; накидывать; простираться; тянуться; охватывать; пить; быть на закате; ...에 걸쳐 в течение; в протяжении чего; 걸쳐 놓다 оставлять висеть
발자국	след (ноги); шаг; ~을 따라 по следу; 세 ~ три шага
종종	種種; иногда; порой; подчас; в отдельных (некоторых) случаях; от случая к случаю; время от времени; временами; иной раз; эпизодически; при случае; кое-когда; нет-нет да и ...; ~ 나는 두통을 앓는다 У меня иногда побаливает голова.
꽝	~하다 бухнуть; грохнуть; 그는 주먹으로 방문을 ~ 쳤다 Он стукнул кулаком в дверь.
꼼짝	~하다 еле двигаться; ~못하다 быть не в состоянии шевельнуться; быть связанным по рукам и по ногам; ~안하다 не шелохнуться; не изменить мнения; стоять на своём; ничего не делать; палец о палец не ударить; не казать носа куда-либо; слова не сказать против кого-либо
새빨갛다	красный; 새빨간 얼굴 покраснёвшее лицо
뿜다	брызгать; струиться; 피를 ~ проливать кровь; 상연할 때 고의로 무대를 연기로 뿜었다 Во время спектакля сцену специально обволокли дымом.
경동맥	頸動脈; сонная артерия
끊어지다	1. ломать; обрубать; обрывать; разрывать; 실이 끊어지다 струна рвется; 전선이 끊어지다 Электрический провод разорван.; 전구가 끊어졌다 Лампочка перегорела.; 2. прерываться; разъединиться; 말이 잠시 끊어졌을 때 в паузе между разговором; 교통이 끊어지다 Движение прервано.; 끊어졌다 이어졌다 하다 отрывистый; 전화가 끊어지다 Телефон разъединился.; 3. порвать с кем-л.; расстаться; покончить с кем-л.; разорвать отношения; 그녀와의 관계가 끊어졌다 Я с ней порвал.; 인연이 끊어지다 разорвать отношения; 4. закончиться, истечь (о сроках); терять эффект; юр. потерять силу (о законе); 약 기운이 끊어지다 Лекарство теряет свой эффект.; 5. кончаться; умирать; истекать; 숨이 끊어지다 сделать последнее дыхание
상아	象牙; слоновый бивень
손잡이	ручка; рукоятка; руль; 찻주전자의 ~ ручка чайника; 가방의 ~ ручка портфеля; 자전거의 ~ руль велосипеда
찌르다	колоть; пронзать; протыкать; прокалывать; тыкать; протухать; вонять; смердеть; ...의 심장을 ~ вонзйть кому в самое сердце; 손가락으로 가슴을 ~ тыкать кого пальцем в грудь; 단검으로 ~ закалывать кинжалом; 호주머니에 손을 ~ совать руки в карманы
간신히	艱辛－; едва; с трудом; ~ 이기다 с трудом победить; ~ 먹고 살아가다 с трудом выживать
하여간	何如間; так или иначе; во всяком случае; ~ 나는 올 것이다 Во всяком случае я приеду.
비웃다	насмехаться, высмеивать кого-л.); 남을 ~ насмехаться над другими
단지	 但只; только; лишь; однако; тем не менее; даже; по крайней мере; хотя бы; ~ 1분만 있으면 Минутку.
샛길	ответвление дороги; кратчайший (прямой) путь; дорога напрямик
하여튼	любом случае =하여간
축축	~하다 влажный; сырой
덮이다	покрыться; быть покрытым (накрытым)
풀밭	луг
자신만만	自信滿滿; ~하다 быть уверенным в себе; самоуверенный
이어지다	быть связанным; 남북 아메리카는 파나마 지형으로 이어져 있다 Северная и Южная Америка связаны Панамским проливом.; 전화가 이어졌다 Звонок прошел. (Телефон соединился.)
유감	遺憾; сожаление; ~스럽게도 к сожалению; 재능을 ~ 없이 발휘했다 полностью проявлять свой способности
짓밟히다	быть растоптанным; быть попранным; 개가 말에 짓밟혀 죽다 лошадь затоптала собаку
야자나무	椰子－; кокос; кокосовая пальма
매트	
깔리다	быть подстеленным (разостланным; расстеленным); 자동차 에~ попасть под машину
허전	~하다 заброшенный; глухой; пустынный; одинокий; грустный; унылый; скучный; усталый; обессиленный
자물쇠	замок; ~를 잠그다 запирать на замок; 문을 ~로 잠그다 заперёть дверь на замок
잠기다	быть запертым (закрытым); сдавить; сжать; быть погружённым; окунаться; погружаться
훔치다	1. стирать; вытирать; подтирать; протирать; вычищать; чистить; 2. воровать; красть; 3. с силой ударять; хлестать; выдёргивать; полоть
끼어들다	insert into[upon];
더구나	вдобавок; кроме того; сверх того; к тому же; 말을 함부로 하는데다 ~ 거짓말까지도 한다 Грубит, да в добавок еще и лжет
꽉	крепко; сильно; до предела; полностью; 생각이 머리에 ~ 차다 Голова забита мыслями.; 숨이 ~ 막히다 дыхание сперло; 가방에 책을 ~ 채우다 набивать портфель книгами
뭉치	моток; связка; пачка; комок
비단	緋緞; шелк шёлковая фактура; ; 비단 非但; только; лишь;  ~ …뿐 아니라 не только ..., но и
빙긋	улыбаться
귀부인	貴婦人; знатная (богатая) женщина; дама; ~의 дамский
풍	風; = 허풍
콧등	спинка носа
버릇	привычка; дурная привычка; дурные наклонности; правила поведения; ~없다 невоспитанный; непочтительный; нетактичный; неприличный; неучтивый
굽다	печь; жарить; поджаривать; обжигать; 설구워지다 недожаренный; 너무 구워지다 пережаренный; 구워 삶다 всеми правдами и неправдами заставлять слушаться (подчиняться); ; 굽다 ; согнутый; кривой; изогнутый
안경점	glass focuses
도수	度數; 1. число раз; частота; 2. градусы
거두다	собирать; убирать; приводить в порядок; прибирать; добиваться; достигать; растить; выращивать; воспитывать; ухаживать; прекращать; оставлять; 곡식을 ~ убирать урожай; 승리를 ~ достичь победы; 세금을 ~ взимать налоги; собирать пошлину; 숨을~ испустить последний вздох
도금	鍍金; плакирование; ~하다 плакировать; 금~ 시계 часы с позолотой; 금으로 ~하다 золотить; покрывать золотом
옷차림	costume
증거	證據; основание; данные; факт(ы); признак(и); свидетельства; улики; ~가 되다 свидетельствовать; служить доказательством; 고고학적 ~ археологические свидетельства; 이론을 유리하게 하는 ~ данные, говорящие в пользу теории
근시	近視; миопия; близорукость; ~의 близорукий; недальновидный
닳다	истираться; изнашиваться; 신발창이 다 닳아서 구멍이 났다 Подошва истёрлась до дыр.; 연필이 다 닳았다 Карандаш совершенно исписался.
끼우다	вставлять; вкладывать; втыкать; допускать к участию в чём; 땅에다 말뚝을 ~ втыкать кол в землю; 끼움 вставка; 끼우는 창틀 вставная оконная рама; 부록을 끼워서 책을 비싸게 팔다 продавать дорого книгу с приложением
기껏해야	от силы; самое большее; ~ 그녀는 열 여섯 살 밖에 안된다 Ей от силы шестнадцать лет.
막연	漠然ㆍ邈然; ~하다 неопределённый; смутный; туманный
알아차리다	discover; notice;
부근	附近; окрестность; близость; соседство; 서울 ~ окрестности Сеула; ~에 아무도 없었다 В окрестности не было никого.
수상	殊常; ~하다 сомнительный; подозрительный; ~스럽다 казаться сомнительным (подозрительным); ;
서성거리다	up and down restlessly;
탐정	detective
떠오르다	подниматься; всплывать на поверхность; всходить; всплывать; приходить в голову
자국	1. след; ~을 밟다 идти по следу; 2. шрам; ; 자국 自國; своя страна; родина; ~의 родной; отечественный
구부리다	сгибать; изгибать
거리낌	помеха; препятствие; 거리낌 없이 решительно; без колебаний
흉기	凶器; смертоносное оружие
불과	不過; всего лишь; не более как; 바보와 천재의 차이는 백지 한 장에 ~하다 Разница между гением и дураком невелика.; 우리 군사는 ~ 3천이다 Наша армия насчитывает не более тысяч человек.; 그것은 일시적 현상에 ~하다 Это всего лишь временное явление.
미처	ещё не; 누구도 거기까지는 ~ 생각하지 못했다 Ещё никто до этого не додумался. (Ещё никто об этом не подумал.)
종종걸음	мелкие шажки
긁히다	быть поцарапанным (содранным; расчёсанным); получить царапину; 긁힌 상처 царапина
표면	表面; поверхность; внешняя (лицевая) сторона; ~적 внешний; наружный; поверхностный; ~적으로 внешне; по виду; ~만으로는 사물의 진성을 알 수 없다 Суть вещей не узнаешь по внешнему признаку.; ~ 장력 поверхностное натяжение
걸레	тряпка; ~질을 하다 мыть (пол) тряпкой; вытирать (пыль) тряпкой
씻기다	#NAME?
집어넣다	включать во что; вкладывать во что; сунуть (в карман); устраиваться (на работу); вставлять (слово, выражение); 편지를 봉투에 ~ вкладывать письмо в конверт; 휴지통에 ~ бросать в корзину для мусора (мусорный ящик); 감옥에 ~ посадить (заключить) кого в тюрьму
덤벼들다	налетать; набрасываться
휘두르다	размахивать; распоряжаться; помыкать; ошеломить; проявлять; обнаруживать
몸부림	~ 치다 метаться; барахтаться; корчиться; ворочаться во сне
통로	通路; проход; проезд; путь; коммуникация; канал; доступ; ~ 없음 прохода нет
꽃히다	вставленным
베개	подушка; ~가 너무 높다 Подушка слишком высокая.; 환자 머리맡에 ~를 대어주었다 Больному подложили под голову подушку.
받치다	подставить; положить; стоять комом в горле; распирать
바짝	#ERROR!
늘어지다	удлиняться; растягиваться; свисать; обвисать; замедляться; сникнуть; размякнуть; спокойный; 늘어지게 잠을 자다 отоспаться; выспаться; 팔자가 ~ жить спокойно; 버드나무 가지가 늘어진다 Ветки ивы свисают.
눈꺼풀	веки
언저리	край; граница; 도시의 ~ край города; 숲의 ~ опушка (край) леса
누런색	yellow
온통	всё целиком
자욱	~하다 очень густой; плотный; ~히 очень густо; 안개가 ~하다 густой туман
물들다	краситься; окрашивать(ся); принимать краску
말투	－套; манера говорить; интонация; акцент
개비	щепка; кусок дерева; полено; 장작 두 ~ два полена; 성냥 두 ~ две спички (спичинки)
눈매	форма (разрез) глаз; глаза
민첩	敏捷; ~하다 живой; расторопный; проворный
애석	哀惜; 1. ~하다 грусный; печальный; 2. ~하다 сокрушаться; сожалеть
끔찍	terribly; horribly; awfully
쳐다보다	смотреть вверх; смотреть с уважением
조급	躁急; нетерпение; ~하다 нетерпеливый; торопливый; лихорадочный; поспешный; ~히 с нетерпением; с лихорадочной поспешностью; наспех; наскоро; в пожарном порядке; ~할 것 없다 не на пожар; 출발을 ~히 서두르다 торопить кого с отъездом; 귀가를 ~히 서두르다 торопиться домой
수도원	修道院; монастырь; монастырский; 남자 ~ мужской монастырь; 여자 ~ женский монастырь; 대~ лавра
생전	生前; период жизни; ~에 при жизни
여쭈다	докладывать; сообщать; спрашивать; приветствовать
영리	怜悧•伶; ~하다 умный; сообразительный; ; 영리 營利; извлечение прибыли (выгоды); ~를 도외시하면서 безвозмездно; не помышляя (без мысли) о выгоде
엉겁결에	вдруг; внезапно; неожиданно
대꾸	1.ответ; 2.возражение; ~하다 1.отвечать; 2. возражать; пререкаться
도둑놈	thief
탐내다	貪－; жаждать; домогаться чего; завидовать
만지작거리다	возиться с чем; теребить; перебирать; 그는 자동차를 어설프게 만지작거리고 있다 Он возится с машиной.; 그는 자물쇠를 만지작거렸다 Он возился с замком.; 그녀는 손가락으로 목주를 만지작거렸다 Она перебирала (теребила) пальцами бусы.; 그녀는 연필을 손에 쥐고 내내 만지작거렸다 Она всё время вертела в руках карандаш.
단서	但書; исходный пункт; ключ; начало; путеводная нить; ~가 되다 служить поводом; ~를 잡다 найти ключ к чему
되풀이	повторение; ~하다 повторять; ~되다 повторяться
지름길	кратчайший (прямой) путь; дорога напрямик; 성공에의 ~ кратчайший путь к успеху; 서울로 빠지는 ~ кратчайший путь, ведущий в Сеул; 우린 ~로 왔다 Мы ехали прямой дорогой
허물없이	нестесня-ющийся;
지독	至毒; ~하다; ядовитый; едкий; злобный; ужасный; жестокий; ~한 말 колкая (едкая) речь; ~한 여자 злобная женщина; ~한 모욕 грубое оскорбление; ~한 구두쇠 ужасный скупец; ~한 추위 лютый холод; ~하게 공부하다 усердно учиться; ~한 감기에 걸리다 сильно простужаться; ~한 날씨 ужасная погода
해롭다	害－; вредный; ядовитый; пагубный; 담배는 건강에 해롭습니다 Курение вредно для вашего здоровья.
왕성	旺盛; расцвет; процветание; ~하다 цветущий; процветающий; быть в расцвете; 원기~하다 быть в прекрасном настроении; быть полным энергии; чувствовать прилив сил; 혈기~하다 полный кипучей энергии; быть в бурном расцвете сил
길가	~ обочина (край) дороги
내키다	понравиться; захотеть; приходиться по душе; 내키지 않다 не нравиться; 나는 그녀의 행실이 썩 내키지는 않는다 Мне не очень нравится её поведение.
묵묵히	默默-; молчаливо; молча; не говоря ни слова
골똘히	погрузившись в мысли;
마침	как раз; кстати; именно; 자네가 ~ 왔군 Ты пришёл кстати.
과연	果然; действительно; в самом деле; так, как и ожидалось; вправду; 그것은 과연 거짓이었다 Это и вправду была ложь.
백발	白髮; седые волосы; седина
어느새	незаметно; как-то; уже
단정	斷定; окончательное заключение (суждение); ~적인 окончательный, категорический; ~하다 делать окончательное заключение (суждение); ; 단정 端正; ~하다 аккуратный; правильный; 옷차림이 ~하다 аккуратно одеваться
팔걸이	подлокотник
풀리다	развязываться; распутываться; распаковываться; расформироваться; рассеиваться; растворяться; таять
뒤집다	выворачивать наизнанку; переворачивать; переставлять; менять местами; свергать; закатывать; 소매를 ~ вывернуть рукава; 눈을 ~ закатить глаза
꿇다	one's knees; kneel (down)
흩어지다	рассеиваться; разлетаться; расходиться; рассыпаться; разбрасываться; разваливаться; разлучаться; разбредаться
아차	ай-ай-ай!; вот беда-то!
가라앉히다	1. топить; погружать; 2. успокаиваться, успокоиться
얼떨결	замешательство; растерянность; ~에 в растерянности (замешательстве); с замешательством
따위	подобный чему-либо; типа чего-либо; 너 ~ такие как ты, ты и тебе подобные
나름	~이다 зависит от, определяется тем; 각자 ~대로 кому как; 이것은 하기 ~이다 Это зависит от того, как работать.
들키다	быть замеченным (обнаруженным); попасться на глаза
필사	必死; ~의 (~적) самоотверженный; отчаянный; ~하다 неизбежно погибнуть; ~적인 노력 отчаянное усилие; ; 필사 筆寫; ~하다 переписывать; снимать копию
손아귀	ложбинка на ладони между большим и указательным пальцами; сила руки; ~에 넣다 прибирать к рукам; ~에 틀어쥐다 держать кого в руках (в когтях)
사태	事態; состояние дел; событие; 곤란한 ~ тяжёлое состояние дел; 국가 비상~ чрезвычайное положение дел в государстве; ; 사태 沙汰; обвал; оползень; наплыв; массовый поток; 불경기로 인해 실업자 ~가 났다 Из-за депрессии началась массовая безработица.; 이 ~에서 벗어날 수 있게 도와주세요 Помогите мне выпутаться из этой ситуации.
실은	實－; на (в) самом деле
다투다	1. ссориться с кем; спорить о ком-чём; спорить с кем-чем; оспаривать; бороться за что; 사소한 일로 ~ ссориться из-за пустяков; 세계 선수권을 놓고 ~ оспаривать звание чемпиона мира; 승부를 ~ соперничать; оспаривать победу; 우승을 ~ бороться за первое место (первенство); 2. спешить; торопиться; 촌각을 ~ торопиться
떨어뜨리다	ронять; сбрасывать; снижать; понижать; склонять
엉뚱	~하다 необычайный; необычный; непомерный; странный; своеобразный; экстравагантный
멍하니	рассеянно; бессмысленно; безучастно; невыразительно; тупо; бесцельно; отстранено; отсутствующе; отрешенно; невнимательно; глупо; удивленно; обескураженно; недоуменно; озадаченно; растерянно; ошеломлённо; потрясенно; обалдело; ~ 돌아다니다 бесцельно слоняться; ~ 듣다 хлопать ушами; ~ 바라보다 засмотреться; бессмысленно (тупо) уставиться; смотреть (с) отсутствующим взглядом
어색	語塞; ~하다 неудобный; неловкий; неумелый
젖히다	back(ward); lean backward;
정체	停滯; застой; застойный; ~하다 быть застойным; ; 정체 政體; режим; форма правления; 공화~ республиканская форма правления; 입헌~ конституционная форма правления; ; 정체 正體; подлинный характер; истинное лицо; ~를 밝히다 показать истинное лицо; сорвать маску с кого
벌떡	внезапно; ~ 일어나다 внезапно вставать
쳐들다	поднимать; 고개를 ~ поднимать голову
경련	痙攣; судорога; конвульсия; подёргивание; спазм; ~이 일다(~하다) сводить что судорогой; подёргиваться; 심장~ сердечные спазмы; 피부~ спазмодермия
주저앉다	плюхаться; тяжело садиться; опускаться; оседать; рушиться; разрушаться; обваливаться; проваливаться; 피곤한 모습으로 소파에 ~ устало опускаться на диван; 집이 ~ рушится дом; 다리가 주저앉았다 Мост обвалился.
투성이	기름~ весь в масле; 피~ весь в крови; 온통 사람 ~이다 быть многолюдным (заполненным людьми)
생김새	вид; внешность; ~로 판단하다 судить по внешности; 아름다운 ~ красивая внешность
주름	морщина; складка; ~지다 покрываться морщинами; ~잡다 закладывать в складки
구부러지다	изгибаться; сгибаться; искривляться
고집	固執; упрямство; настойчивость; ~스럽다 казаться упрямым (неуступчивым; непокладистым); ~스레 упрямо; настойчиво ; ~하다 упрямиться; настаивать на своём; ~불통 упрямый как осёл; ~을 부리다 упрямиться; ~(을) 세우다 упорно стоять на своём
고약	~하다 злой; злобный; недоброжелательный; отвратительный; безобразный; уродливый; ; 고약 膏藥; пластырь
기품	氣品; благородство; ~있는 благородный; ~있는 용모 благородный облик
붙잡다	крепко держаь(ся); схватиться; схватывать; 손잡이를 ~ схватиться за рукоятку
체포	逮捕; арест; задержание; ~하다 арестовывать; задерживать
뿌리치다	стряхивать; 유혹을 ~ стряхнуть с себя соблазны
잡히다	находиться в руках; быть выбранным (намеченным); быть сделанным; быть погашенным; быть взятым (захваченным, схваченным); быть обнаруженным (найденным)
더욱	ещё более; ~좋아지다 становиться лучше; улучшаться; ~큰 소리로 말하다 говорить еще громче
경멸	輕蔑; пренебрежение; презрение; ~하다 презирать; пренебрегать
눈초리	взгляд; взор
쏘아보다	вперить глаза (взор); устремить взгляд
미련	глупость; тупость; ~스럽다 казаться глупым (тупым); ~하다 недогадливый; глупый; тупой; ~을 남기다 оставить рану в сердце; поселить в душе тоску; ; 미련 未練; неотвязная мысль; сожаление; ~을 가지다 быть (всё ещё) привязанным к кому-либо; тосковать по кому-либо
뉘우치다	раскаиваться (в чём); 뉘우침 раскаяние; 자기가 지은 죄를 ~ раскаиваться в своих грехах
속죄	贖罪; искупление; ( искупительный; ~하다 искупать (заглаживать) (вину) что чем; ~의 선물 искупительная жертва
순진	純眞; чистота; простодушие; невинность; ~하다 простодушный; наивный; невинный; ~한 아이 невинный ребёнок
동지	冬至; зимнее солнцестояние; 동짓날 день зимнего солнцестояния; ; 동지 同志; товарищ; единомышленник; 혁명~ товарищ по революции
불리	不利; ~하다 невыгодный; ~한 형세 невыгодное положение
건지다	(из воды) вынимать; вытаскивать
상금	賞金; денежная премия
유배	有配; ссылка; изгнание; ~하다 жить в ссылке; ~ 살이 жизнь в ссылке
부정	不定; неопределённость; неясность; ~ 계수 неопределённый коэффициент; ~ 수 неопределённое число; 주거 ~ неопределённость места жительства; ~한 수입 неопределённый доход; ; 부정 不正; несправедливость; нечестность; отрицание; ~한 수단 нечестное средство; ~한 일 неправое дело; ~ 공무원 коррумпированный чиновник; ~사건 скандал; ~을 일삼다 быть несправедливым; ; 부정 不淨; грязнота; нечистота; ~한 돈 деньги, добытые грязным способом; ~ 풀이 изгнание духа мёртвого из его дома ; ; 부정 不貞; неверность; 그녀는 ~한 여자이다 Она неверная женщина.; ; 부정 否定; отрицание; противоречие; ~하다 отрицать; ~하기 어려운 사실 трудноотрицаемый факт; ~적 отрицательный
복수	復讐; месть; возмездие; реванш; ~하다 мстить; отплачивать; брать реванш; 지난 번 패배를 ~하다 отомстить за прошлое поражение; ~주의 реваншизм; ~주의자 реваншист; ; 복수 腹水; водянка брюшной полости; асцит; ; 복수 複數; комплексное число; множественное число
과격	過激; ~하다 радикальный; крайний; экстремистский; резкий; ~분자 радикал; экстремист
인품	人品; характер; личные качества; 고상한~ благородный характер
증명	證明; доказательство; подтверждение; ~하다 доказывать; ~해 보이다 представить доказательства; 자기 요구의 정당성을 ~하다 доказывать справедливость своего требования; 허위성을 ~하다 доказывать ложность; ~서류 документальное доказательство
의논	議論; обсуждение; спор; дебаты; ~하다 бсуждать(ся); спорить; дебатировать
일기장	日記帳; дневник
터무니없다	беспочвенный; неосновательный
덧붙이다	1. добавлять (сверх полагающегося); 덧붙여 주의를 주다 дополнительно уделять внимание; 2. прикреплять; приклеивать
광산	鑛山; рудник; копи; шахта; ~도시 шахтёрский посёлок
강제	强制; принуждение; ~적인 принудительный; насильственный; ~적으로 принудительно; насильно; ~하다 принуждать; заставлять; вынуждать; ~ 노동принудительная работа; ~ 집행 принудительные меры; ~ 이주 депортация; ~ 접종 принудительная вакцинация
비열	卑劣; ~하다 подлый, низкий; ~한 수단 подлое средство; ~한 정신 коварная душа
없애다	уничтожать; ликвидировать; истреблять; устранять; расточать; проматывать; 해충을 ~ истреблять вредных насекомых; 돈을 다 써 ~ проматывать все деньги
차마	быть не в состоянии; не может быть; не мочь; ~ 웃음을 참지 못했다 быть не в состоянии удержаться от смеха (улыбки); ~ 그것을 할 수는 없다 Хоть убей, не могу этого сделать.; ; 차마 車馬; 1. лошади и автомашины; 2. колесница и конь (фигуры в кор. шахматах)
다정	多情; ~하다 сердечный; душевный; дружелюбный; ~히 сердечно; душевно; дружелюбно; ~한 벗 задушевный друг; ~한 사이 дружелюбные (интимные; близкие) отношения
신음	呻吟; стон; ~하다 стонать; изнывать; томиться чем; 농민들은 농노제도의 속박 아래서 ~해 왔다 Крестьянство стонало крепостного права.
본디	本－; с (самого) начала; изначально; искони; вообще; по природе; по существу; по сути дела
순순히	obedient; gentle;
본뜨다	本－; имитировать
약도	略圖; схема; план; набросок; контур
담뱃재	ash(es); tobacco as
붙잡히다	быть схваченным (задержанным)
넘기다	переправлять; переводить; перевозить; переворачивать; опрокидывать; листать; перелистывать; глотать; проглатывать; передавать; перекладывать; отдавать; упускать; пропускать; просрочить; пропустить; 기회를 ~ упускать случай,; 납부기 한을 ~ пропускать срок уплаты; 고비를 넘겼다 Кризис миновал.; 재판에 ~ отдавать под суд; 책임을 ~ перекладывать ответственность (на кого); 책장을 ~ переворачивать листы книги; перевернуть страницу книги, ; 추운 겨울을 ~ проводить морозную зиму
정의	定義; определение; дефиниция; ; 정의 情誼; дружелюбие; дружба; ~가 두터운 дружелюбный; участливый; ; 정의 正義; справедливость; правда; ~의 справедливый
독약	毒藥; яд (о лекарстве)
실마리	начало нитки; ключ; (путеводная) нить; 문제 해결의 ~를 찾다 найти ключ к разрешению вопроса; 실 타래에서 ~를 찾다 найти начало нитки в клубке; 이야기의 ~ нить разговора
