가수	歌手	Singer
정류장	停留場	stop,a station,bus-stop
정말	正-	Really
제일	第一	The first
졸업	卒業	Graduation
졸업하다	卒業-	To graduate
죄송하다	罪悚-	regret,be sorry for
주	週	One week
주말	週末	Weekend
주소	住所	An address
주인	主人	The head of a family,the owner
준비	準備	Preparation
준비하다	準備-	To prepare
중국	中國	China
중국어	中國語	Chinese
중요하다	重要-	To be important,weighty
중학교	中學校	Middle school
중학생	中學生	Middle school student
지갑	紙匣	A purse,wallet
지금	只今	Now
지난주	-週	Last week
지도	地圖	Map, atlas
지하	地下	Underground
지하철	地下鐵	Subway
질문	質問	A question, a query
질문하다	質問-	Ask a person a question
차	茶	Tea
차	車	A vehicle, train/auto car
창문	窓門	A window
책	冊	A book
책상	冊床	On the desk
천	千	Thousand
청바지	靑-	Blue jeans
청소	淸掃	Cleaning
청소하다	淸掃-	To clean
초대	招待	An invitation
초대하다	招待-	To invide
초등학교	初等學校	Elementary school
축구	蹴球	Football
축하하다	祝賀-	To Congratulate sb
출발하다	出發-	To depart, leave
취미	趣味	Hobby
층	層	floor,grade,class
치약	齒藥	Toothpaste
친구	親舊	A friend
친절하다	親切-	To be kind, to be nice
칠	七	Seven
칠십	七十	Seventy
칠월	七月	Month of July
칠판	漆板	The blackboard
침대	寢臺	A bed
칫솔	齒-	A toothbrush
태권도	跆拳道	Tae kwon do
토요일	土曜日	Saturday
파란색	-色	Blue
팔	八	Eight
팔십	八十	80
팔월	八月	August
편지	便紙	Letter
포도	葡萄	grape(s)
표	票	A marker, indication
피곤하다	疲困-	To be very tired, exhausted
필요	必要	Need, requirement,necessity
필요하다	必要-	To need
학교	學校	School
학년	學年	A school year
학생	學生	Student
한국말	韓國-	Korean (language)
한국어	韓國語	Korean (language)
한번	-番	Once
한복	韓服	Korean traditional clothing
한자	漢字	Korean character, derived from chinese
항상	恒常	Always
형	兄	An elder brother
호	號	A pen name, a title; a number, an issue
화요일	火曜日	Tuesday
화장실	化粧室	Bathroom
환자	患者	A patient
회사	會社	A company
회의	會議	A meeting, a conference
후	後	After
휴일	休日	A day off of work, a holiday
휴지	休紙	Toilet paper
휴지통	休紙桶	Waste paper basket
흰색	-色	gray,ash color
가격	價格	Price
가구	家具	Furniture
가능성	可能性	Possibility
가능하다	可能-	To be possible
가요	歌謠	A song
가정	家庭	Famly
가짜	假-	Fake
각	各	Each or  every
각각	各各	Each and every
각국	各國	Each country
각자	各自	Each one or  every one
각종	各種	All sorts or  varieties
간	間	The interval between
간단하다	簡單-	To be simple
간단히	簡單-	Simply speaking
간식	間食	Snack
간장	-醬	Soy sauce
갈비탕	-湯	Beef-rib soup
갈색	褐色	Brown
감동	感動	Agitate or  stir up the emotions
감상	鑑賞	Appreciation
감상하다	鑑賞-	To show appreciation
감정	感情	Feelings
강당	講堂	A lecture hall
강도	强盜	A robber or  burglar
강물	江-	River water
강제	强制	Compulsion or  coercion
강조하다	强調-	Place empasis upon
강하다	强-	To be strong or  powerful
개발하다	開發-	Develop or  exploit or  open up to development
개인	個人	Private or  individual
개인적	個人的	Private or  personal
거실	居室	Living room
건너편	-便	The opposite side
건축	建築	Construction or  building or  erection
검사	檢査	Investigation or  inspection or  examination or  audit
검정색	-色	черный цвет
겁	怯	Fear or  fright
결과	結果	Result
결국	結局	After all or  in the end
결심하다	決心-	To resolve or  be determined
결정	決定	A decision or  determination
결정되다	決定-	To become decided
결정하다	決定-	To decide
경기	競技	Race or  match or  contest
경기장	競技場	Sports stadium or  a sports field
경상도	慶尙道	Kyung-San-Do province (ulsan or kyungju)
경영	經營	Management or  administration
경우	境遇	A case or  an instance
경제	經濟	Economy
경제적	經濟的	Economical
경험	經驗	Experience or  undergo or  suffer
경험하다	經驗-	To experience or  go through
계단	階段	A staircase or  a set of stairs
계산	計算	Calculation
계산기	計算器	Calculator
계산하다	計算-	To calculate
계속되다	繼續-	To continue
계속하다	繼續-	To continue
계약	契約	Contract
계획하다	計劃-	Plan or  make a project
고객	顧客	Customer
고교	高校	High school
고급	高級	High rank or  first class
고려하다	考慮-	Regard or  respect
고모	姑母	A paternal aunt
고모부	姑母夫	The husband of one’s paternal aunt
고민	苦悶	Worry or  anguish
고민하다	苦悶-	Be in anguish or  worried
고생	苦生	A hard life or  privation
고생하다	苦生-	To suffer or  to have trials ; to do something you don\\'t want to do, 하고 싶자 않은 것
고속	高速	High speed
고속도로	高速道路	Freeway or  highway with no street lights
고속버스	高速-	Bus for the freeway
고장	故障	Broken
고추장	-醬	Red pepper paste
고통	苦痛	Suffering or  agony
골프장	-場	Golf course
공간	空間	Space or  room
공기	空氣	Air
공동	共同	Association or  union or  collaboration
공무원	公務員	Public servant
공사	工事	Construction work or  engineering work
공연	公演	A public performance
공장	工場	Construction site
공중전화	公衆電話	A public payphone
공짜	空-	Free
공항버스	空港-	Bus to the airport
과거	過去	The past
과목	科目	A subject or  a lesson
과장	課長	The department/section head
과제	課題	A subject or  a thesis or  homework; an exercise/a problem
과학	科學	Science
과학자	科學者	Scientist
과학적	科學的	Scientifically
관객	觀客	Spectator
관계	關係	Connection or  relation
관광	觀光	Sightseeing or  tourism
관광객	觀光客	A tourist
관광지	觀光地	Tourist area
관련	關聯	Relation or  connection or  reference
관련되다	關聯-	Be connected or  related to
관련하다	關聯-	To be related to or  connected to
관리	管理	Management or  administration
관심	關心	Concern or  interest
관찰하다	觀察-	Observe or  view or  watch
관하다	關-	Refer to or  be about
광고	廣告	Advertisement
굉장히	宏壯-	Very very much or  greatly
교류	交流	Interchange (cultural) ; alternating current (electrical)
교문	校門	A school gate
교육	敎育	Education
교통사고	交通事故	Traffic accident
교포	僑胞	A Korean living abroad
교환	交換	An exchange
구체적	具體的	Concretely
구하다	救-	Rescue a person
구하다	求-	1) To buy or  purchase or  2) look for or  seek or  want
국가	國家	A state or  a nation
국기	國旗	The national flag
국내	國內	Inside the country
국립	國立	Government established
국민	國民	The people or  a nationality
국어	國語	1) The national language or  2) Korean
국제	國際	International
국회의원	國會議員	A member of the national Assembly
군	君	Mr.
군	軍	An army
군대	軍隊	Troops or  an army
권투	拳鬪	Boxing or  K1
권하다	勸-	1) advise or  persuade 2) recommend
귀국	歸國	Returning to one’s home country
귀국하다	歸國-	To return to one’s home country
규칙	規則	Rules or  regulations
규칙적	規則的	Be regular or  systematic
그중	-中	Among the rest of them
근로자	勤勞者	Laborer
근무	勤務	Duty or  service or  work
근무하다	勤務-	Work or  labor
글자	-字	A letter or  a character
금	金	Gold
금년	今年	This year
금방	今方	Just now or  a moment ago
금연	禁煙	Prohibition of smoking
금지	禁止	Forbidden or  prohibitted
금지하다	禁止-	To restrain or prohibit
급하다	急-	Be urgent or  pressing or  iminent
긍정적	肯定的	Affirmation or  admission
기간	期間	A period or  a time or
기계	機械	An instrument or  a machine
기대	期待	Expectation
기대하다	期待-	To expect or look forward to
기도	祈禱	A prayer
기록하다	記錄-	To record and write down
기본	基本	A foundation
기사	技士	Technician
기사	記事	An article or  an account
기술	技術	Art or  technique or  ability
기억	記憶	A memory
기억나다	記憶-	To memorize
기억하다	記憶-	To recall or  remember
기온	氣溫	Temperature
기자	記者	A journalist
기준	基準	A standard or basis
기초	基礎	The foundation
기회	機會	An opportunity
긴장	緊張	Tension
긴장하다	緊張-	To become tense
까만색	-色	Black
낙엽	落葉	Fallen dead leaves
남	南	The south
남	男	A man
남매	男妹	Brother and sister
남성	男性	Male
내용	內容	Contents
내지	乃至	From A to B
년대	年代	Year
년도	年度	Year
노동자	勞動者	Laborer, worker
노래방	-房	Singing room
노력	努力	Effort
노력하다	努力-	To try hard, strive
노인	老人	Old person
녹색	綠色	Green
녹음	錄音	Recording
녹음하다	錄音-	To record
녹차	綠茶	Green tea
논문	論文	Dissertations , an academic paper (these are 2 separate meanings)
논의하다	論議-	Discussion
농구	籠球	Basketball
농담	弄談	A joke
농사	農事	Farming
농업	農業	Agriculture
농촌	農村	A farm village
능력	能力	Ability, capability, how much and how well
다수	多數	A great number
다양하다	多樣-	To be various, diverse
다행히	多幸-	Fortunately
단	單	Only one, alone
단순하다	單純-	Be simple-minded
단순히	單純-	Simply
단점	短點	A weak point
단지	但只	Simple, merely
단지	團地	A public apt complex
단체	團體	A corps, a group
담당하다	擔當-	Take charge of
담임	擔任	Charge, duty
답장	答狀	An answer
답하다	答-	Answer, reply
당신	當身	Formal you
당연하다	當然-	Be natural, be no wonder
당연히	當然-	Of course
당장	當場	On the spot, immediately
당황하다	唐慌-	Be confused
대	對	1) Versus 2)a pair, counterpart
대구	大邱	Daegu city
대기업	大企業	Big enterprise
대도시	大都市	Large city
대문	大門	A big gate
대부분	大部分	Most
대신	代身	Instead of
대전	大田	Daejon city
대중	大衆	The masses
대중교통	大衆交通	Mass transportation
대중문화	大衆文化	Pop culture
대통령	大統領	The president
대표	代表	Representative
대표적	代表的	Representative
대하다	對-	Face, confront
대학교수	大學敎授	University professor
대학원	大學院	Graduate school
대화하다	對話-	To converse
대회	大會	A great meeting
덕분	德分	Indebtedness
도구	道具	Tool, instrument
도로	道路	A road, way
도망가다	逃亡-	Make a go for it, escape
도자기	陶瓷器	Porcelain
도중	途中	On the way
도쿄(동경)	東京	Tokyo
독서	讀書	Reading
독일어	獨逸語	German
뒷산	-山	The back side of a mountain
만	滿	Just, full
만두	饅頭	Chinese dumplings
만약	萬若	If
만일	萬一	If, suppose
만족하다	滿足-	To be content
만화	漫畵	Cartoons
말	末	End
맞은편	-便	The other side of  THIS IS ONE WORD
매년	每年	Every year
매력	魅力	fascination,charm, bewitchery
명령	命令	An order,command
명절	名節	Festival days
명함	名銜	Name card
모양	模樣	signs,indications
모양	模樣	A shape, form
목사	牧師	A pastor
목욕탕	沐浴湯	A bathhouse
목적	目的	goal,purpose
목표	目標	goal,object
무시하다	無視-	disregard,ignore ; to be defiant and fail to observe
무역	貿易	Trade
무용	舞踊	dancing,a dance
무조건	無條件	Unconditional
문장	文章	writing,composition
문제점	問題點	The point at issue
문학	文學	Literature
문화	文化	culture
미래	未來	Future
미소	微笑	Smile
미술	美術	art,the fine arts
미술관	美術館	Fine arts museum
미인	美人	A beautiful girl
민족	民族	race,nation,people
박사	博士	Doctor
박수	拍手	Applause
반대	反對	Opposite and being opposed to (objecting to)
반대하다	反對-	Be opposed to
반복하다	反復-	To repeat
반장	班長	Squad leader
반지	半指	Ring
반찬	飯饌	Sie dishes
반하다	反-	To be contrary to
발견	發見	Discovery
발견되다	發見-	Be discovered
발견하다	發見-	To discover
발달	發達	Development, growth
발달하다	發達-	To advance
발생	發生	1) Birth 2) development
발생하다	發生-	Originate, come from
발음하다	發音-	Pronounce
발전	發展	Development
발전하다	發展-	To develop, grow
발표	發表	Announcement
발표하다	發表-	To announce
밤중	-中	Midnight
방금	方今	Just now
방문	房門	A door of a room
방문	訪問	A visit
방문하다	訪問-	To visit
방법	方法	Way, method
방송	放送	Broadcast
방송국	放送局	Broadcasting station
방향	方向	Direction
배경	背景	Background
배구	排球	Volleyball
배달	配達	Delivery
배우	俳優	Actor
번역	飜譯	Translation
번째	番-	How many times
법	法	A way, a method
법	法	A law, the law
벽	壁	A wall
변하다	變-	Change
변호사	辯護士	Lawyer
변화	變化	Change, transformation
변화하다	變化-	To change,vary
별	別	Classified by
별로	別-	Especially, particularly
병들다	病-	Get sick
보고	報告	report,information
보고서	報告書	Report
보관하다	保管-	Keep in one’s custody
보통	普通	Usually
보험	保險	guarantee,insurance
보호	保護	protection,shelter
복도	複道	A corridor
복사	複寫	Reproduction
복사하다	複寫-	reproduce,copy
복습	復習	Reviewing
복습하다	復習-	To review
본래	本來	originally,primarily
봉지	封紙	Bag
봉투	封套	Envelope
부	部	A department, a part
부근	附近	neighborhood,vicinity
부동산	不動産	Real estate
부분	部分	part,portion
부자	富者	A rich person
부작용	副作用	reaction,side effect
부잣집	富者-	Rich man’s house
부장	部長	Head of a department
부족	不足	lack,want (scarcity, insufficiency)
부족	部族	A tribe
부족하다	不足-	Be short of, lack
부처	部處	Buddha
부탁	付託	request,favor
부탁하다	付託-	Ask sb a favor
북	北	North
분명	分明	Obviousness
분명히	分明-	Obviously
분석하다	分析-	To analyze
분위기	雰圍氣	atmosphere,surroundings
불가능하다	不可能-	Impossible
불교	佛敎	Buddhism
불만	不滿	Dissatisfaction
불안	不安	uneasiness,anxiety
불안하다	不安-	To be uneasy, anxious
불편하다	不便-	To be unpleasant
불행하다	不幸-	Do not permit
비교	比較	A comparison
비교적	比較的	Comparatively
비교하다	比較-	To compare
비닐봉지	-封紙	Plastic bag
비밀	秘密	A secret
비서	秘書	Secretary
비용	費用	Expense
비판하다	批判-	To criticize
사계절	四季節	The four seasons
사고	事故	An accident
사과하다	謝過-	To apologize
사무	事務	Office work
사물	事物	objects,things
사실	事實	Actually, really
사실	事實	The truth, a fact
사업	事業	Business
사용	使用	use,emply
사용되다	使用-	Be used, be employed
사용자	使用者	A user,consumer,employer
사원	社員	Company employee
사자	獅子	A lion
사진기	寫眞機	Camera
사촌	四寸	a cousin
사회	社會	culture,society
사회적	社會的	Socially
산소	酸素	Oxygen
산속	山-	The heart of a mountain
삼촌	三寸	An uncle (usually on the father\\'s side)(외삼촌 a brother of the wife, an uncle on the  mother\\'s side)
상	賞	A prize
상대	相對	counterpart,companion,rival
상대방	相對方	Conversation partner
상상	想像	Imagination
상상하다	想像-	Imagine
상자	箱子	A box,case
상처	傷處	Wound
상품	商品	Product
상하다	傷-	damage,injure
생신	生辰	A birthday
생활하다	生活-	To live, make a living
생활환경	生活環境	Life environment
서류	書類	documents,papers
서양	西洋	The Western countries
석유	石油	Petroleum
선배	先輩	one’s senior
선수	選手	An athlete
선택	選擇	A choice
선택하다	選擇-	To choose
선풍기	扇風機	A fan
설렁탕	-湯	Beef soup with rice
섭씨	攝氏	Celsius
성	姓	A family name,surname
성격	性格	Personality ; character, nature
성공	成功	success,achievement
성공하다	成功-	To succeed
성별	性別	Sex distinction
성인	成人	An adult
성적	成績	A result,grade
성함	姓銜	Your (his) esteemed name
세계	世界	World
세계적	世界的	International
세금	稅金	Tax
세기	世紀	Century
세상	世上	The world,society
세탁	洗濯	Laundry
세탁소	洗濯所	Laundromat
소개	紹介	Introduction
소개되다	紹介-	To be introduced,presented
소녀	少女	A young girl
소년	少年	A boy
소문	所聞	A rumor
소문나다	所聞-	A rumor starts
소비자	消費者	A consumer
소설	小說	A novel, fiction story
소설가	小說家	Novelist
소식	消息	News, information
소용없다	所用-	To be useless
소주	燒酒	Korean sake
소포	小包	A parcel,package
속도	速度	Speed
속하다	屬-	Belong to, be affiliated with
손녀	孫女	Granddaughter
손수건	-手巾	A handkerchief
손자	孫子	Grandson
솔직하다	率直-	frankness,candidness
솔직히	率直-	frankly,candidly
송편	松-	Rice cake steemed over pine needles
수년	數年	Several years
수돗물	水道-	Tap water
수많다	數-	Many and many
수상	首相	The prime minister
수술	手術	Surgery
수염	鬚髥	Beard
수입	收入	Income
수입	輸入	Importing sth
수입하다	輸入-	To import
수출	輸出	Exporting sth
수출하다	輸出-	To export
수표	手票	A check
수학	修學	Pursuit of knowledge
수학	數學	Mathematics
수화기	受話器	Telephone receiver
숙소	宿所	one’s address
순간	瞬間	A moment,a second
순서	順序	sytem,order,sequence
순수하다	純粹-	To be pure
술병	-甁	A bottle of alcohol
술잔	-盞	A glass for alcohol
숫자	數字	A figure,number
스키장	~場	Place to ski
습관	習慣	Habit
승용차	乘用車	A passenger car
시내	市內	The city
시내버스	市內~	Inner-city bus
시대	時代	An age,period
시도하다	試圖-	To try,attempt
시민	市民	Residents of a city
시부모	媤父母	one’s husband’s parents
시설	施設	establishment,institution
시아버지	媤-	one’s husband’s father
시어머니	媤-	one’s husband’s mother
시외	市外	Outside the city, suberbs
시인	詩人	A poet
시절	時節	season,time,occasion
시집	媤-	one’s husband’s home/family
시청	市廳	City hall
시청자	視聽者	TV audience member
식	式	form,style
식구	食口	Members of a family, your immediate family members (those you live with, preferably)
식물	植物	food,provisions
식빵	食-	Bread
식용유	食用油	Food oil
식초	食醋	Vinegar
식품	食品	Groceries
신고	申告	A statement,declaration
신랑	新郞	A bridegroom
신문사	新聞社	Newspaper company
신문지	新聞紙	Newspaper paper
신부	新婦	Bride
신선하다	新鮮-	Fresh
신용	信用	confidence,trust
신입생	新入生	A new student
신청	申請	application,request
신체	身體	The body
신호	信號	A signal,signaling
신호등	信號燈	Signal light, blinker
신혼부부	新婚夫婦	Newlyweds
신혼여행	新婚旅行	the honeymoon (the trip after the wedding)
실내	室內	In the room
실력	實力	one’s real ability,talent
실수	失手	A mistake
실수하다	失手-	To make a mistake
실패	失敗	Failure
실패하다	失敗-	To fail
심각하다	深刻-	seriousness,gravity
심리	心理	A mental state
심하다	甚-	To be extreme,intense
심해지다	甚-	Become deep and serious
쓰레기통	-桶	Garbage can
아래층	-層	Lower floor
악기	樂器	Musical instrument
악수	握手	Handshake
안내하다	案內-	To lead the way
안방	-房	The inner room
안전	安全	Safety
안전하다	安全-	To be safe
안주	按酒	Appetizers for alcohol
암	癌	Cancer
애	아이	A baby, or a slightly derogative word for person
애인	愛人	A lover
야외	野外	The fields, the outskirts
야채	野菜	Vegetables
약간	若干	Some, a little
약간	若干	Somewhat
약하다	弱-	To be weak
양	量	quantity,volume
양배추	洋-	Cabbage
양보하다	讓步-	To make a concession, recede
양쪽	兩-	Both sides
양파	洋-	An onion
어색하다	語塞-	To be awkward, shy with words, speechless
억	億	One hundred million
업무	業務	Buisness, duty
여	女	A woman, a girl
여고생	女高生	Female high school student
여관	旅館	A hotel, an inn
여대생	女大生	Female college student
여성	女性	Female
여유	餘裕	reserve,surplus
여직원	女職員	Female employee
여행사	旅行社	Travel agency
역사가	歷史家	Historian
역사적	歷史的	Historical
역시	亦是	As expected, likewise
역할	役割	A part, a role
연결되다	連結-	Connect, attach
연결하다	連結-	Connect, attach
연구	硏究	Research
연구소	硏究所	A reasearch institute
연구자	硏究者	Researcher
연구하다	硏究-	To research, investigate
연기	演技	performance,acting
연기	煙氣	Smoke, fume
연락처	連絡處	a way to make contact (usually means a phone number)
연락하다	連絡-	To contact, get in touch with
연말	年末	The end, close of the year
연세	年歲	Age, years of age
연하다	軟-	Tender, soft, mild
연휴	連休	Consecutive holidays
열	熱	Heat
열차	列車	Train
염려하다	念慮-	To worry, be anxious about
엽서	葉書	A postcard
영상	零上	Above zero
영원하다	永遠-	To be eternal
영원히	永遠-	Forever
영하	零下	Below zero
옆방	-房	The room next door
예	例	Example
예금	預金	Deposit money
예매하다	豫買-	Advance purchase
예상	豫想	Expectation, anticipation; forecast, preconception, prenotion
예술	藝術	Art, an art
예술가	藝術家	An artist
예약	豫約	Pre-engagement, reservation
예절	禮節	propriety,decorum
예정	豫定	A program, schedule
오래전	-前	Since a long time before
온도	溫度	Temperature
완벽하다	完璧-	Perfect
완전히	完全-	completely,perfectly
왕	王	King
외	外	Except, save for
외교	外交	Diplomacy
외교관	外交官	A diplomat
외삼촌	外三寸	An uncle on one’s mother’s side
외출	外出	Going out, an outing
외출하다	外出-	To go out (of doors)
외할머니	外-	A maternal grandmother
요구하다	要求-	To demand,claim,request
요금	料金	A rate, a fare
요청	要請	request,demand,claim
욕실	浴室	A bathroom,a bath
욕심	欲心	Greed, selfishness
용돈	用-	Pocket money, money for expenses
우선	于先	First of all, before everything
우수하다	優秀-	to be superior,excellent
우승	優勝	First place
우승하다	優勝-	To take first place
우연히	偶然-	accidentally,by chance
우울하다	憂鬱-	To be melancholy, gloomy
우표	郵票	A postage stamp
운	運	Fortune, luck, fate
운동복	運動服	Exercise clothes
운전기사	運轉技士	The driver
운전자	運轉者	The driver
원래	元來	originally,primarily
원하다	願-	To want
월급	月給	Monthly salary
위반	違反	Violation, infringment
위층	-層	The upper floor
위치	位置	A position, a location
위치하다	位置-	To be located
위하다	爲-	To do for the sake of
유교	儒敎	Confucianism
유리	琉璃	A glass pane
유리창	琉璃窓	A window which uses glass
유명	有名	fame,celebrity status
유치원	幼稚園	Kindergarten
유학	儒學	Confucianism
유학	留學	Studying abroad
유학생	留學生	A foreign student
유행	流行	Fashion, vogue
유행하다	流行-	To be in fashion, to be popular
음료	飮料	A beverage, a drink
음료수	飮料水	Drinking water
음악가	音樂家	A musician
의견	意見	An opinion,a suggestion
의미	意味	A meaning, a sense
의미하다	意味-	To mean, signify
의심하다	疑心-	To be suspicious, to doubt
의하다	依-	To be due to, owing to
이동	移動	movement,migration,drift
이모	姨母	A maternal aunt
이발소	理髮所	barber’s shop
이사	移徙	House-moving
이사하다	移徙-	To move house
이상	以上	More than, above
이상	理想	An ideal, a goal
이상	異常	Indisposition, abnormal
이상하다	異常-	To be strange,queer
이성	理性	Reason, reasoning
이외	以外	Except, apart from
이용	利用	To use
이용되다	利用-	To be used
이용하다	利用-	To use, make use of
이유	理由	Reason
이익	利益	Profit
이전	以前	Former days/times
이하	以下	Less than, below
이해	理解	Understanding
이혼	離婚	Divorce
이혼하다	離婚-	To get divorced
이후	以後	After that
인간	人間	A person, a human being
인구	人口	Population
인기	人氣	Popularity
인분	人分	How many people counter for at restaurants
인사말	人事-	Words of greeting
인삼	人蔘	Ginseng
인삼차	人蔘茶	Ginseng tea
인상	人相	Look, personal appearance
인상	印象	Impression, imprint
인생	人生	Life
인원	人員	The number of persons
인천공항	仁川空港	Incheon international airport
인형	人形	A doll
일기	日氣	The weather
일기	日記	A diary, journal
일등	一等	First class, first class/grade
일반	一般	universal,common,usual
