낯선	незнакомый
미끼	приманка
온	весь целый (прил.)
뒤지다	обшарить что-то
조각	обрывок
면세점	дьюти фри
구르다	кататься
굴러다니다	кататься туда сюда
끼이다	застрять где-то 에
교훈을 주다	주다 преподать урок
교훈을 얻다	 извлекать урок
반드시	обязательно
뻗다	растянуться
아득히	вдали
칙칙하다	темный, тусклый
잡목림	смешанный лес
구기다	морщить, смять
영원히	вечно
진절머리가 나다	 надоедать кому чем
몸을 쭉 펴다 	потянуться
실로	действительно
몽롱하다	тусклая
감싸다	обертывать, покрывать
미세하다	микроскопический
대기	атмосфера, воздух
들키다	быть замеченным 게/에게
면하다	быть обращенным к 에
경사면	наклонная плоскость, склон
궤도	колея, орбита
빠져나가다	를 выйти/вырваться из замкнутой области
뻐꾸기	кукушка
가로지르다	пересечь
기복	неровность, рельеф
일렬	линия, колонна
줄지다	выстраиваться в линию
양지바르다	солнечный, обращенный к солнцу
웅크리다	свернуться, съежиться
눈길을 끌다	끌다 приковать глаза
하품이 나오다	나오다 наводить зевоту (о чем-то скучном)
단선	одноколейка
뜰	сад перед домом
헛간	амбар, сарай
시달리다	에 подвергаться чему, мучиться от
선전	пропаганда, реклама 하다
양철	жесть
유치	привлекать, приманивать 하다
양옥	дом в европ. стиле
굵직하다	довольно крупный
꼼꼼하게	тщательно
양질	высококачественный
목재	лесоматериалы
덕택에	благодаря
묵직하다	увесистый, солидный
중량감이 있다	увесистый
칠하다	выкрасить
녹다	растворится в 에
연못	лотосовый пруд
아담하다	благородный; элегантный
팔각형	восьмиугольник
정자	беседка
돌출하다	выдаваться вперёд
만발하다	обильно цвести
설계자	дизайнер
거주자	жилец
나이 들다	быть пожилым
폐병	легочная болезнь
속으로 스며들다	проникать, впитываться внутрь
뒤덮다	сплошь покрывать
달콤하다	сладковатый
습하다	сырой
강가	берег реки
저지대	низина
에워싸다	обступать, окружать
까다롭다	привередливый
천재	талант
의뢰	поручение
긁다	царапать, скрести
부지	участок земли, на кот. постройка
냄새를 맡다	нюхать
지점	место на земле
찾아내다	отыскать
인부	чернорабочий
십중팔구	наверняка, 8-9 из 10
전철에 치다	быть сбитым электричкой
억수	ливень
난청	тугоухость
시체	труп
조각나다	разрезать на кусочки
흩어지다	разлететься, рассыпаться по 에
회수하다	возвращаться
갈퀴	грабли
달리다	прикреплять к 에
막대기	палка
굶주리다	голодать
들개	бродячая собака
양동	ведро
폐가	заброшенный дом
에 걸쳐(서)	на протяжении (время)
마음을 가라앉히다	успокаивать душу
친한 친구	близкий друг
고서	старинная лит-ра/книга
타락	моральное падение
천사	ангел
파계승	грешный монах
악마 추방자	изгонитель дьявола
흡혈귀	вампир
잡지에 실린	помещенный в журнал
풍모	внешность, вид
힘차게	энергично
막연하다	неопределённый; смутный
제정	империя, монархия
사상범	вольнодумец-преступник
유형지	место ссылки
전기	биография
바퀴	таракан
순록	сев. олень
썰매	сани
어둠을 틈타다	пользуясь темнотой (удобным случаем) под покровом темноты
탈주	побег
꽁꽁 얼다	промерзать
은백색	серебряный
황야	пустыня
전속력으로	на полном ходу
숨결	дыхание
발굽	копыто
사방	пустыня
흩날리다	разметаться
쓰러지다	повалиться
피로에 지치다	утомленный усталостью
끌어안다	обнимать
마음속으로 맹세하다	покляться в душе
정의	справедливость
동상	бронзовая статуя
동서남북	все 4 стороны
파괴	уничтожение
산중턱	склон горы
시냇물	ручей
비둘기	голубь
에 눈을 뜨다	проснуться от
열매	плоды
잎사귀	листва
껍질을 벗기다	снять обертку
쓰다듬다	гладить (рукой тд.)
힘껏	изо всех сил
타이르다	убеждать кого-то 를
태반	большая половина
타인	чужой/чужак
원망	сетование, жалоба
경멸	презрение
험담	злословие
오로지	только
애정	любовь
배려	сочувствие
정어리	сардина
통조림	консервы
나란히	ряд; рядом; ровно; рядком
드러눕다	улечься
짐작이 가다 	догадываться о дэхэ
생애	жизнь
황금	золото
지상	поверхн-ть земли
도입	внедрение
웅덩이	яма с водой
사다리	лестница
채색	окраска
색채	цвет
마음이 훈훈해지다	тронуть душу
유별나다	особенный
씌어지다	написанный (книга)
초상화	портрет
배은망덕	неблагодарность хада
부당	несоответств-я
해소	развеяться
자극	стимулировать
요소	важный пункт
후광	ореол
자본 투자	инвестор капитала
지탱	поддерживать
근원	фундаментальный
진흙	грязь
기량	способности
십진법	десятичный
환산	вести счет
형이상학적	метафизический
학파	течение школа
자존심	чувство собств достоинства
대치	замена
다만	только, лишь
귀중	дорогой
소모전	война на истощение
고독	одинокий
용기	смелось
추적	погоня
통찰	проницательность
변혁	преобразование
확대	расширение
축소	сужение
포괄	содержание охват
지향	устремление  을 ставить целью
반칙	нарушение правил
보복	возмездение
가차없다	безжалостный
손을 들다	умыть руки от бессилия
끔찍하다	поразительный ужасный
혼란에 빠지다	тронуться умом
평온	мир спокойстиве хада
구별	различие
어깨를 으쓱하다	пожать плечами
띄게	заметно
퇴보	регрессия
세포	клетка
분열	разделение
중견급	основной класс
시간도 아끼다	даже жалеть время на что-то
초주검이 되다	быть на гране смерти, без сил
그런 까닭에	по этой причине
차례차례	один за другим
교배	скрещивание хада
점차	постепенно
수도꼭지	водопроводный кран
구불구불하다	извилистый
수초	трава и водоросли
무성하다	густрой, разросшийся
이따금	то и дело, часто
낚시줄을 드리우다	закинуть удочку
낚시꾼	рыбак
데리다	брать с собой (кого-то)
울타리	изгородь
애처롭다	жалкий
손가락을 튕기다	щелкнуть пальцами
들이밀다	просунуть что-то куд
길다랗다	продолговатый
뒤로 물러나다	отсупить назад
뒤를 돌아다보다	посмотреть назад
울타리를 빠져 나오다 	 пролезть через забор
프린트되다	быть напечатанным
젖꼭지	сосок
개업	business opening
선착순으로	В порядке прибытия
